PERIOD,MEAN_OMB
2021,1.4
2022,1.4
2023,1.4
2024,1.4
2025,1.4
2026,1.4
2027,1.4
2028,1.4
2029,1.4
2030,1.4
2031,1.4
2032,1.4
2033,1.4
2034,1.4
2035,1.4
2036,1.4
2037,1.4
2038,1.4
2039,1.4
2040,1.4
2041,1.4
2042,1.4
2043,1.4
2044,1.4
2045,1.4
2046,1.4
2047,1.4
2048,1.4
2049,1.4
2050,1.4
2051,1.4
2052,1.4
2053,1.4
2054,1.4
2055,1.4
2056,1.4
2057,1.4
2058,1.4
2059,1.4
2060,1.4
2061,1.4
2062,1.4
2063,1.4
2064,1.4
2065,1.4
2066,1.4
2067,1.4
2068,1.4
2069,1.4
2070,1.4
2071,1.4
