toret,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
-48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-43,0.00771008733968054,0.00771008733968054,0.00771008733968054,0.00771008733968054,0.00771008733968054,0.00771008733968054,0.00771008733968054,0.00771008733968054,0.00771008733968054,0.00771008733968054,0.00771008733968054,0.00771008733968054,0.00771008733968054,0.00771008733968054,0.00771008733968054,0.00771008733968054,0.00771008733968054,0.00771008733968054,0.00771008733968054,0.00771008733968054,0.00771008733968054,0.00771008733968054,0.00771008733968054,0.00771008733968054,0.00771008733968054,0.00771008733968054,0.00771008733968054,0.00771008733968054,0.00771008733968054,0.00771008733968054,0.00771008733968054,0.00771008733968054,0.00771008733968054,0.00771008733968054,0.00771008733968054,0.00771008733968054,0.00771008733968054,0.00771008733968054,0.00771008733968054,0.00771008733968054,0.00771008733968054,0.00771008733968054,0.00771008733968054,0.00771008733968054,0.00771008733968054,0.00771008733968054,0.00771008733968054,0.00771008733968054,0.00771008733968054,0.00771008733968054
-42,0.00577450055984442,0.00577450055984442,0.00577450055984442,0.00577450055984442,0.00577450055984442,0.00577450055984442,0.00577450055984442,0.00577450055984442,0.00577450055984442,0.00577450055984442,0.00577450055984442,0.00577450055984442,0.00577450055984442,0.00577450055984442,0.00577450055984442,0.00577450055984442,0.00577450055984442,0.00577450055984442,0.00577450055984442,0.00577450055984442,0.00577450055984442,0.00577450055984442,0.00577450055984442,0.00577450055984442,0.00577450055984442,0.00577450055984442,0.00577450055984442,0.00577450055984442,0.00577450055984442,0.00577450055984442,0.00577450055984442,0.00577450055984442,0.00577450055984442,0.00577450055984442,0.00577450055984442,0.00577450055984442,0.00577450055984442,0.00577450055984442,0.00577450055984442,0.00577450055984442,0.00577450055984442,0.00577450055984442,0.00577450055984442,0.00577450055984442,0.00577450055984442,0.00577450055984442,0.00577450055984442,0.00577450055984442,0.00577450055984442,0.00577450055984442
-41,0.0105553012145531,0.0105553012145531,0.0105553012145531,0.0105553012145531,0.0105553012145531,0.0105553012145531,0.0105553012145531,0.0105553012145531,0.0105553012145531,0.0105553012145531,0.0105553012145531,0.0105553012145531,0.0105553012145531,0.0105553012145531,0.0105553012145531,0.0105553012145531,0.0105553012145531,0.0105553012145531,0.0105553012145531,0.0105553012145531,0.0105553012145531,0.0105553012145531,0.0105553012145531,0.0105553012145531,0.0105553012145531,0.0105553012145531,0.0105553012145531,0.0105553012145531,0.0105553012145531,0.0105553012145531,0.0105553012145531,0.0105553012145531,0.0105553012145531,0.0105553012145531,0.0105553012145531,0.0105553012145531,0.0105553012145531,0.0105553012145531,0.0105553012145531,0.0105553012145531,0.0105553012145531,0.0105553012145531,0.0105553012145531,0.0105553012145531,0.0105553012145531,0.0105553012145531,0.0105553012145531,0.0105553012145531,0.0105553012145531,0.0105553012145531
-40,0.00449180027275124,0.00449180027275124,0.00449180027275124,0.00449180027275124,0.00449180027275124,0.00449180027275124,0.00449180027275124,0.00449180027275124,0.00449180027275124,0.00449180027275124,0.00449180027275124,0.00449180027275124,0.00449180027275124,0.00449180027275124,0.00449180027275124,0.00449180027275124,0.00449180027275124,0.00449180027275124,0.00449180027275124,0.00449180027275124,0.00449180027275124,0.00449180027275124,0.00449180027275124,0.00449180027275124,0.00449180027275124,0.00449180027275124,0.00449180027275124,0.00449180027275124,0.00449180027275124,0.00449180027275124,0.00449180027275124,0.00449180027275124,0.00449180027275124,0.00449180027275124,0.00449180027275124,0.00449180027275124,0.00449180027275124,0.00449180027275124,0.00449180027275124,0.00449180027275124,0.00449180027275124,0.00449180027275124,0.00449180027275124,0.00449180027275124,0.00449180027275124,0.00449180027275124,0.00449180027275124,0.00449180027275124,0.00449180027275124,0.00449180027275124
-39,0.00423995586421756,0.00423995586421756,0.00423995586421756,0.00423995586421756,0.00423995586421756,0.00423995586421756,0.00423995586421756,0.00423995586421756,0.00423995586421756,0.00423995586421756,0.00423995586421756,0.00423995586421756,0.00423995586421756,0.00423995586421756,0.00423995586421756,0.00423995586421756,0.00423995586421756,0.00423995586421756,0.00423995586421756,0.00423995586421756,0.00423995586421756,0.00423995586421756,0.00423995586421756,0.00423995586421756,0.00423995586421756,0.00423995586421756,0.00423995586421756,0.00423995586421756,0.00423995586421756,0.00423995586421756,0.00423995586421756,0.00423995586421756,0.00423995586421756,0.00423995586421756,0.00423995586421756,0.00423995586421756,0.00423995586421756,0.00423995586421756,0.00423995586421756,0.00423995586421756,0.00423995586421756,0.00423995586421756,0.00423995586421756,0.00423995586421756,0.00423995586421756,0.00423995586421756,0.00423995586421756,0.00423995586421756,0.00423995586421756,0.00423995586421756
