age,period,
,2021,2022
18,76.0,76.0
19,281.0,281.0
20,384.0,384.0
21,441.0,441.0
22,535.0,535.0
23,598.0,598.0
24,574.0,574.0
25,642.0,642.0
26,647.0,647.0
27,719.0,719.0
28,860.0,860.0
29,922.0,922.0
30,984.0,984.0
31,980.0,980.0
32,1041.0,1041.0
33,1110.0,1110.0
34,1150.0,1150.0
35,1310.0,1310.0
36,1409.0,1409.0
37,1548.0,1548.0
38,1625.0,1625.0
39,1793.0,1793.0
40,1844.0,1844.0
41,2037.0,2037.0
42,2410.0,2410.0
43,2521.0,2521.0
44,2693.0,2693.0
45,2989.0,2989.0
46,3228.0,3228.0
47,3522.0,3522.0
48,3692.0,3692.0
49,3770.0,3770.0
50,3871.0,3871.0
51,3809.0,3809.0
52,4188.0,4188.0
53,4294.0,4294.0
54,4732.0,4732.0
55,5323.0,5323.0
56,5932.0,5932.0
57,6362.0,6362.0
58,6739.0,6739.0
59,7010.0,7010.0
60,7259.0,7259.0
61,6826.0,6826.0
62,2422.0,2422.0
