age,period,
,2021,2022
18,15.2,15.2
19,56.2,56.2
20,76.8,76.8
21,88.2,88.2
22,107,107
23,119.6,119.6
24,114.8,114.8
25,128.4,128.4
26,129.4,129.4
27,143.8,143.8
28,172,172
29,184.4,184.4
30,196.8,196.8
31,196,196
32,208.2,208.2
33,222,222
34,230,230
35,262,262
36,281.8,281.8
37,309.6,309.6
38,325,325
39,358.6,358.6
40,368.8,368.8
41,407.4,407.4
42,482,482
43,504.2,504.2
44,538.6,538.6
45,597.8,597.8
46,645.6,645.6
47,704.4,704.4
48,738.4,738.4
49,754,754
50,774.2,774.2
51,761.8,761.8
52,837.6,837.6
53,858.8,858.8
54,946.4,946.4
55,1064.6,1064.6
56,1186.4,1186.4
57,1272.4,1272.4
58,1347.8,1347.8
59,1402,1402
60,1451.8,1451.8
61,1365.2,1365.2
62,484.4,484.4
