age,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082
18,76,84,92,0,113,125,109,138,128,158,182,181,201,150,158,148,147,232,237,238,237,235,233,230,228,226,226,232,232,232,232,232,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,281,300,298,353,355,340,369,348,355,418,413,425,363,380,401,376,372,587,600,602,600,596,590,583,577,573,573,587,587,587,587,587,587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,384,386,457,457,414,443,424,445,496,485,503,436,468,448,472,443,438,693,707,710,707,702,695,688,680,676,676,693,693,693,693,693,693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,441,510,522,463,507,472,499,565,561,565,505,531,513,465,490,460,455,719,734,736,734,729,721,714,706,701,701,719,719,719,719,719,719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,535,567,510,557,519,548,615,621,614,574,576,557,525,556,586,550,544,860,878,881,878,872,863,854,845,839,839,860,860,860,860,860,860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,598,547,589,553,579,657,672,670,608,629,606,574,617,650,685,643,636,1005,1026,1029,1026,1019,1008,998,987,980,980,1005,1005,1005,1005,1005,1005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,574,614,585,619,709,729,719,659,679,662,626,658,711,690,727,683,675,1067,1089,1093,1089,1082,1070,1059,1048,1041,1041,1067,1067,1067,1067,1067,1067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,642,625,655,745,768,764,707,716,695,671,704,771,747,698,736,690,683,1079,1102,1105,1102,1094,1083,1072,1060,1053,1053,1079,1079,1079,1079,1079,1079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,647,696,781,803,798,759,759,732,712,747,816,801,754,684,721,677,669,1057,1080,1083,1080,1072,1061,1050,1039,1032,1032,1057,1057,1057,1057,1057,1057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,719,818,831,842,803,797,795,767,785,881,858,811,745,737,777,729,721,1139,1163,1167,1163,1155,1143,1131,1119,1111,1111,1139,1139,1139,1139,1139,1139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,860,878,897,846,853,850,829,849,909,915,870,818,796,773,815,765,756,1195,1220,1224,1220,1212,1199,1187,1174,1166,1166,1195,1195,1195,1195,1195,1195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,922,944,902,889,894,857,900,952,972,923,900,866,853,897,945,887,878,1387,1416,1421,1416,1406,1392,1377,1362,1353,1353,1387,1387,1387,1387,1387,1387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,984,946,929,948,901,973,999,1038,1002,974,936,929,965,952,1003,942,931,1472,1503,1508,1503,1492,1477,1461,1446,1436,1436,1472,1472,1472,1472,1472,1472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,980,981,996,962,1035,1036,1128,1059,1038,1015,996,1053,1036,993,1047,982,972,1535,1567,1573,1567,1557,1540,1524,1508,1498,1498,1535,1535,1535,1535,1535,1535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1041,1049,1020,1096,1092,1177,1153,1125,1080,1074,1160,1121,1077,1032,1088,1021,1010,1595,1629,1634,1629,1618,1601,1584,1568,1556,1556,1595,1595,1595,1595,1595,1595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1110,1086,1169,1159,1251,1210,1219,1183,1150,1264,1237,1191,1118,1097,1156,1085,1073,1696,1731,1737,1731,1720,1702,1684,1666,1654,1654,1696,1696,1696,1696,1696,1696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1150,1239,1238,1319,1303,1271,1273,1262,1362,1326,1322,1253,1194,1230,1296,1217,1203,1901,1941,1948,1941,1928,1908,1888,1868,1855,1855,1901,1901,1901,1901,1901,1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1310,1302,1378,1380,1347,1340,1373,1481,1435,1442,1368,1338,1336,1296,1366,1282,1268,2004,2046,2053,2046,2032,2011,1990,1969,1954,1954,2004,2004,2004,2004,2004,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1409,1450,1454,1427,1419,1457,1608,1556,1550,1528,1469,1478,1411,1329,1401,1315,1300,2055,2098,2105,2098,2083,2062,2040,2019,2004,2004,2055,2055,2055,2055,2055,2055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,1548,1545,1547,1508,1568,1709,1677,1667,1644,1593,1626,1556,1465,1314,1385,1300,1286,2031,2074,2081,2074,2060,2038,2017,1996,1982,1982,2031,2031,2031,2031,2031,2031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1625,1645,1597,1674,1850,1784,1804,1806,1749,1781,1718,1598,1433,1263,1331,1249,1236,1953,1993,2000,1993,1980,1959,1939,1918,1905,1905,1953,1953,1953,1953,1953,1953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1793,1717,1788,1980,1929,1929,1951,1919,1946,1885,1797,1618,1382,1411,1487,1396,1380,2181,2227,2235,2227,2212,2189,2166,2143,2128,2128,2181,2181,2181,2181,2181,2181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1844,1922,2130,2077,2082,2106,2060,2127,2077,1975,1794,1542,1566,1466,1545,1450,1434,2266,2314,2322,2314,2298,2274,2250,2227,2211,2211,2266,2266,2266,2266,2266,2266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2037,2259,2222,2224,2279,2233,2325,2294,2134,1979,1748,1775,1621,1578,1663,1561,1544,2439,2491,2499,2491,2474,2448,2422,2397,2380,2380,2439,2439,2439,2439,2439,2439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2410,2363,2389,2461,2457,2490,2495,2332,2143,1933,1976,1810,1751,1873,1974,1853,1832,2896,2956,2966,2956,2936,2906,2875,2845,2825,2825,2896,2896,2896,2896,2896,2896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2521,2536,2638,2661,2673,2688,2536,2379,2118,2198,2014,1970,2050,2066,2178,2044,2021,3194,3261,3272,3261,3239,3205,3172,3138,3116,3116,3194,3194,3194,3194,3194,3194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2693,2807,2861,2900,2892,2708,2590,2340,2415,2249,2246,2299,2268,2265,2387,2240,2216,3502,3575,3587,3575,3551,3514,3477,3440,3416,3416,3502,3502,3502,3502,3502,3502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
