age,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082
18,15,17,18,0,23,25,22,28,26,32,36,36,40,30,32,30,29,46,47,48,47,47,47,46,46,45,45,46,46,46,46,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,56,60,60,71,71,68,74,70,71,84,83,85,73,76,80,75,74,117,120,120,120,119,118,117,115,115,115,117,117,117,117,117,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,77,77,91,91,83,89,85,89,99,97,101,87,94,90,94,89,88,139,141,142,141,140,139,138,136,135,135,139,139,139,139,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,88,102,104,93,101,94,100,113,112,113,101,106,103,93,98,92,91,144,147,147,147,146,144,143,141,140,140,144,144,144,144,144,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,107,113,102,111,104,110,123,124,123,115,115,111,105,111,117,110,109,172,176,176,176,174,173,171,169,168,168,172,172,172,172,172,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,120,109,118,111,116,131,134,134,122,126,121,115,123,130,137,129,127,201,205,206,205,204,202,200,197,196,196,201,201,201,201,201,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,115,123,117,124,142,146,144,132,136,132,125,132,142,138,145,137,135,213,218,219,218,216,214,212,210,208,208,213,213,213,213,213,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,128,125,131,149,154,153,141,143,139,134,141,154,149,140,147,138,137,216,220,221,220,219,217,214,212,211,211,216,216,216,216,216,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,129,139,156,161,160,152,152,146,142,149,163,160,151,137,144,135,134,211,216,217,216,214,212,210,208,206,206,211,211,211,211,211,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,144,164,166,168,161,159,159,153,157,176,172,162,149,147,155,146,144,228,233,233,233,231,229,226,224,222,222,228,228,228,228,228,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
