age,period,
,2021,2022
18,102.0,102.0
19,423.0,423.0
20,510.0,510.0
21,689.0,689.0
22,674.0,674.0
23,754.0,754.0
24,856.0,856.0
25,856.0,856.0
26,892.0,892.0
27,999.0,999.0
28,1106.0,1106.0
29,1227.0,1227.0
30,1321.0,1321.0
31,1323.0,1323.0
32,1350.0,1350.0
33,1353.0,1353.0
34,1456.0,1456.0
35,1564.0,1564.0
36,1720.0,1720.0
37,1767.0,1767.0
38,1829.0,1829.0
39,1944.0,1944.0
40,2135.0,2135.0
41,2167.0,2167.0
42,2461.0,2461.0
43,2585.0,2585.0
44,2830.0,2830.0
45,3025.0,3025.0
46,3094.0,3094.0
47,3223.0,3223.0
48,3417.0,3417.0
49,3414.0,3414.0
50,3444.0,3444.0
51,3573.0,3573.0
52,3747.0,3747.0
53,4067.0,4067.0
54,4341.0,4341.0
55,4947.0,4947.0
56,5320.0,5320.0
57,5968.0,5968.0
58,6444.0,6444.0
59,6462.0,6462.0
60,7146.0,7146.0
61,7374.0,7374.0
62,5999.0,5999.0
