age,period,
,2021,2022
18,20.4,20.4
19,84.6,84.6
20,102,102
21,137.8,137.8
22,134.8,134.8
23,150.8,150.8
24,171.2,171.2
25,171.2,171.2
26,178.4,178.4
27,199.8,199.8
28,221.2,221.2
29,245.4,245.4
30,264.2,264.2
31,264.6,264.6
32,270,270
33,270.6,270.6
34,291.2,291.2
35,312.8,312.8
36,344,344
37,353.4,353.4
38,365.8,365.8
39,388.8,388.8
40,427,427
41,433.4,433.4
42,492.2,492.2
43,517,517
44,566,566
45,605,605
46,618.8,618.8
47,644.6,644.6
48,683.4,683.4
49,682.8,682.8
50,688.8,688.8
51,714.6,714.6
52,749.4,749.4
53,813.4,813.4
54,868.2,868.2
55,989.4,989.4
56,1064,1064
57,1193.6,1193.6
58,1288.8,1288.8
59,1292.4,1292.4
60,1429.2,1429.2
61,1474.8,1474.8
62,1199.8,1199.8
