age,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082
18,102,148,116,0,135,157,174,194,168,207,223,223,270,216,205,192,190,300,307,308,307,304,301,298,295,293,293,300,300,300,300,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,423,397,474,451,476,521,499,482,513,527,558,537,555,481,456,428,423,669,683,685,683,678,671,664,657,652,652,669,669,669,669,669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,510,616,554,586,637,610,571,620,645,674,672,654,601,596,565,530,524,828,846,849,846,840,831,823,814,808,808,828,828,828,828,828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,689,622,642,702,668,645,698,718,757,753,735,689,666,648,614,576,570,901,920,923,920,913,904,894,885,879,879,901,901,901,901,901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,674,693,767,729,697,776,779,834,826,797,763,736,729,724,686,644,637,1006,1027,1031,1027,1020,1010,999,989,982,982,1006,1006,1006,1006,1006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,754,814,757,754,828,846,900,888,867,844,795,789,789,781,740,695,687,1085,1108,1112,1108,1101,1089,1078,1067,1059,1059,1085,1085,1085,1085,1085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,856,823,811,877,901,955,971,940,914,851,846,874,852,838,794,745,737,1165,1189,1193,1189,1181,1169,1157,1144,1136,1136,1165,1165,1165,1165,1165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,856,857,926,961,1006,1039,996,979,915,911,949,932,922,939,890,835,826,1305,1332,1337,1332,1323,1310,1296,1282,1273,1273,1305,1305,1305,1305,1305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,892,961,1013,1062,1097,1043,1045,976,956,993,999,998,1001,928,879,825,816,1290,1317,1321,1317,1308,1294,1281,1267,1258,1258,1290,1290,1290,1290,1290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,999,1053,1114,1164,1120,1102,1054,1014,1069,1076,1077,1075,983,982,931,873,864,1365,1393,1398,1393,1384,1370,1355,1341,1331,1331,1365,1365,1365,1365,1365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1106,1173,1217,1181,1142,1096,1084,1138,1129,1172,1143,1064,1058,1022,968,909,899,1420,1450,1455,1450,1440,1425,1411,1396,1386,1386,1420,1420,1420,1420,1420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1227,1262,1233,1198,1147,1124,1175,1192,1229,1206,1133,1139,1091,1102,1044,980,969,1532,1564,1569,1564,1553,1537,1521,1505,1494,1494,1532,1532,1532,1532,1532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1321,1262,1236,1193,1182,1224,1261,1292,1283,1201,1217,1187,1182,1140,1080,1014,1003,1584,1618,1623,1618,1607,1590,1573,1557,1546,1546,1584,1584,1584,1584,1584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1323,1282,1241,1264,1287,1321,1351,1341,1259,1298,1277,1294,1217,1207,1144,1073,1062,1678,1713,1719,1713,1701,1683,1666,1648,1636,1636,1678,1678,1678,1678,1678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1350,1292,1315,1341,1395,1384,1414,1341,1399,1360,1415,1313,1285,1279,1212,1137,1125,1778,1815,1821,1815,1802,1784,1765,1747,1734,1734,1778,1778,1778,1778,1778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
