age,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082
18,20,30,23,0,27,31,35,39,34,41,45,45,54,43,41,38,38,60,61,62,61,61,60,60,59,59,59,60,60,60,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,85,79,95,90,95,104,100,96,103,105,112,107,111,96,91,86,85,134,137,137,137,136,134,133,131,130,130,134,134,134,134,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,102,123,111,117,127,122,114,124,129,135,134,131,120,119,113,106,105,166,169,170,169,168,166,165,163,162,162,166,166,166,166,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,138,124,128,140,134,129,140,144,151,151,147,138,133,130,123,115,114,180,184,185,184,183,181,179,177,176,176,180,180,180,180,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,135,139,153,146,139,155,156,167,165,159,153,147,146,145,137,129,127,201,205,206,205,204,202,200,198,196,196,201,201,201,201,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,151,163,151,151,166,169,180,178,173,169,159,158,158,156,148,139,137,217,222,222,222,220,218,216,213,212,212,217,217,217,217,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,171,165,162,175,180,191,194,188,183,170,169,175,170,168,159,149,147,233,238,239,238,236,234,231,229,227,227,233,233,233,233,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,171,171,185,192,201,208,199,196,183,182,190,186,184,188,178,167,165,261,266,267,266,265,262,259,256,255,255,261,261,261,261,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,178,192,203,212,219,209,209,195,191,199,200,200,200,186,176,165,163,258,263,264,263,262,259,256,253,252,252,258,258,258,258,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,200,211,223,233,224,220,211,203,214,215,215,215,197,196,186,175,173,273,279,280,279,277,274,271,268,266,266,273,273,273,273,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,221,235,243,236,228,219,217,228,226,234,229,213,212,204,194,182,180,284,290,291,290,288,285,282,279,277,277,284,284,284,284,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,245,252,247,240,229,225,235,238,246,241,227,228,218,220,209,196,194,306,313,314,313,311,307,304,301,299,299,306,306,306,306,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,264,252,247,239,236,245,252,258,257,240,243,237,236,228,216,203,201,317,324,325,324,321,318,315,311,309,309,317,317,317,317,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,265,256,248,253,257,264,270,268,252,260,255,259,243,241,229,215,212,336,343,344,343,340,337,333,330,327,327,336,336,336,336,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,270,258,263,268,279,277,283,268,280,272,283,263,257,256,242,227,225,356,363,364,363,360,357,353,349,347,347,356,356,356,356,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,271,275,281,297,291,292,286,302,289,302,285,288,272,261,247,232,229,362,370,371,370,367,363,360,356,353,353,362,362,362,362,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,291,295,307,303,308,292,320,308,324,308,308,302,276,267,253,237,235,371,378,380,378,376,372,368,364,361,361,371,371,371,371,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,313,320,317,319,308,326,323,342,327,328,326,302,286,272,258,242,239,378,386,387,386,383,379,375,371,369,369,378,378,378,378,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,344,333,330,331,338,335,370,352,349,351,328,315,294,268,254,238,236,372,380,381,380,377,374,370,366,363,363,372,372,372,372,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,353,342,347,360,355,384,373,372,378,355,341,318,283,274,260,244,241,381,389,390,389,386,382,378,374,371,371,381,381,381,381,381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,366,364,378,371,402,386,397,406,386,370,353,311,295,279,264,248,245,387,395,397,395,393,389,385,380,378,378,387,387,387,387,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,389,397,387,429,408,414,433,413,398,380,349,326,298,289,274,257,254,401,410,411,410,407,403,399,394,392,392,401,401,401,401,401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,427,407,445,431,439,447,448,430,408,382,357,331,304,307,291,273,270,427,436,437,436,433,428,424,419,416,416,427,427,427,427,427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,433,465,456,467,473,460,452,442,411,386,361,339,326,323,306,287,284,449,458,460,458,455,450,446,441,438,438,449,449,449,449,449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,492,477,494,501,492,465,480,442,416,391,378,364,345,373,354,332,328,519,530,532,530,526,521,515,510,506,506,519,519,519,519,519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,517,523,527,520,495,499,479,450,424,414,397,383,400,404,383,359,356,562,574,576,574,570,564,558,552,548,548,562,562,562,562,562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,566,558,549,533,528,496,485,454,450,433,424,440,430,437,414,388,384,607,620,622,620,615,609,603,596,592,592,607,607,607,607,607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,605,577,563,561,527,501,491,486,468,463,489,479,473,455,431,405,400,633,646,648,646,642,635,628,622,617,617,633,633,633,633,633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,619,591,591,557,530,503,520,509,501,535,532,521,497,492,467,438,433,684,699,701,699,694,687,680,672,668,668,684,684,684,684,684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,645,625,590,565,541,536,552,542,578,579,580,561,526,550,521,489,484,764,780,783,780,775,767,759,751,746,746,764,764,764,764,764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,683,622,596,578,567,571,578,630,629,639,621,590,588,594,563,528,522,826,843,846,843,837,828,820,811,805,805,826,826,826,826,826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,683,627,615,607,602,600,677,682,699,690,657,663,644,656,622,583,577,912,931,934,931,924,915,905,896,889,889,912,912,912,912,912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,689,652,645,649,653,704,742,764,754,721,743,729,712,735,696,653,646,1021,1043,1046,1043,1036,1025,1014,1003,996,996,1021,1021,1021,1021,1021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,715,689,693,701,752,766,823,823,780,811,818,819,797,853,808,758,750,1185,1210,1214,1210,1202,1189,1177,1164,1156,1156,1185,1185,1185,1185,1185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,749,745,746,806,825,854,887,844,885,893,910,908,927,911,863,810,801,1266,1292,1297,1292,1283,1270,1257,1243,1235,1235,1266,1266,1266,1266,1266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,813,794,852,874,928,935,911,965,970,1003,1023,1046,992,964,913,857,848,1339,1367,1372,1367,1358,1344,1330,1316,1306,1306,1339,1339,1339,1339,1339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
