PERIOD,PL,LSL,HSL,PSL,TL
2021,0.149063678,0.135663106,0.321967438,0.012066578,0.381239199
2022,0.149063678,0.135663106,0.321967438,0.012066578,0.381239199
2023,0.149063678,0.135663106,0.321967438,0.012066578,0.381239199
2024,0.149063678,0.135663106,0.321967438,0.012066578,0.381239199
2025,0.149063678,0.135663106,0.321967438,0.012066578,0.381239199
2026,0.149063678,0.135663106,0.321967438,0.012066578,0.381239199
2027,0.149063678,0.135663106,0.321967438,0.012066578,0.381239199
2028,0.149063678,0.135663106,0.321967438,0.012066578,0.381239199
2029,0.149063678,0.135663106,0.321967438,0.012066578,0.381239199
2030,0.149063678,0.135663106,0.321967438,0.012066578,0.381239199
2031,0.149063678,0.135663106,0.321967438,0.012066578,0.381239199
2032,0.149063678,0.135663106,0.321967438,0.012066578,0.381239199
2033,0.149063678,0.135663106,0.321967438,0.012066578,0.381239199
2034,0.149063678,0.135663106,0.321967438,0.012066578,0.381239199
2035,0.149063678,0.135663106,0.321967438,0.012066578,0.381239199
2036,0.149063678,0.135663106,0.321967438,0.012066578,0.381239199
2037,0.149063678,0.135663106,0.321967438,0.012066578,0.381239199
2038,0.149063678,0.135663106,0.321967438,0.012066578,0.381239199
2039,0.149063678,0.135663106,0.321967438,0.012066578,0.381239199
2040,0.149063678,0.135663106,0.321967438,0.012066578,0.381239199
2041,0.149063678,0.135663106,0.321967438,0.012066578,0.381239199
2042,0.149063678,0.135663106,0.321967438,0.012066578,0.381239199
2043,0.149063678,0.135663106,0.321967438,0.012066578,0.381239199
2044,0.149063678,0.135663106,0.321967438,0.012066578,0.381239199
2045,0.149063678,0.135663106,0.321967438,0.012066578,0.381239199
2046,0.149063678,0.135663106,0.321967438,0.012066578,0.381239199
2047,0.149063678,0.135663106,0.321967438,0.012066578,0.381239199
2048,0.149063678,0.135663106,0.321967438,0.012066578,0.381239199
2049,0.149063678,0.135663106,0.321967438,0.012066578,0.381239199
2050,0.149063678,0.135663106,0.321967438,0.012066578,0.381239199
2051,0.149063678,0.135663106,0.321967438,0.012066578,0.381239199
2052,0.149063678,0.135663106,0.321967438,0.012066578,0.381239199
2053,0.149063678,0.135663106,0.321967438,0.012066578,0.381239199
2054,0.149063678,0.135663106,0.321967438,0.012066578,0.381239199
2055,0.149063678,0.135663106,0.321967438,0.012066578,0.381239199
2056,0.149063678,0.135663106,0.321967438,0.012066578,0.381239199
2057,0.149063678,0.135663106,0.321967438,0.012066578,0.381239199
2058,0.149063678,0.135663106,0.321967438,0.012066578,0.381239199
2059,0.149063678,0.135663106,0.321967438,0.012066578,0.381239199
2060,0.149063678,0.135663106,0.321967438,0.012066578,0.381239199
2061,0.149063678,0.135663106,0.321967438,0.012066578,0.381239199
2062,0.149063678,0.135663106,0.321967438,0.012066578,0.381239199
2063,0.149063678,0.135663106,0.321967438,0.012066578,0.381239199
2064,0.149063678,0.135663106,0.321967438,0.012066578,0.381239199
2065,0.149063678,0.135663106,0.321967438,0.012066578,0.381239199
2066,0.149063678,0.135663106,0.321967438,0.012066578,0.381239199
2067,0.149063678,0.135663106,0.321967438,0.012066578,0.381239199
2068,0.149063678,0.135663106,0.321967438,0.012066578,0.381239199
2069,0.149063678,0.135663106,0.321967438,0.012066578,0.381239199
2070,0.149063678,0.135663106,0.321967438,0.012066578,0.381239199
