PERIOD,LSF0,LSF1,LSF2,LSF3,LSF4,LSF5,LSF6,LSF7,LSF8,LSF9,LSF10,HSF0,HSF1,HSF2,HSF3,HSF4,HSF5,HSF6,HSF7,HSF8,HSF9,HSF10,PSF0,PSF1,PSF2,PSF3,PSF4,PSF5,PSF6,PSF7,PSF8,PSF9,PSF10,TF0,TF1,TF2,TF3,TF4,TF5,TF6,TF7,TF8,TF9,TF10
2021,0.195470799,0,0.009013707,0.004395113,0.051847437,0.003501192,0.004097139,0.500521454,0.047750298,0.003203218,0.180199642,0.00018833,0.015286104,0.022191531,0.050189899,0.158134279,0.014124737,0.018895759,0.43121253,0.060579428,0.047929941,0.18126746,0,0.123115578,0.014237856,0.103015075,0.027638191,0,0.025125628,0.477386935,0.001675042,0.022613065,0.20519263,0,0.135934683,0.081194995,0.151070936,0.177844343,0.061313753,0.057337504,0.131799385,0.034778921,0.127717103,0.041008377
2022,0.195470799,0,0.009013707,0.004395113,0.051847437,0.003501192,0.004097139,0.500521454,0.047750298,0.003203218,0.180199642,0.00018833,0.015286104,0.022191531,0.050189899,0.158134279,0.014124737,0.018895759,0.43121253,0.060579428,0.047929941,0.18126746,0,0.123115578,0.014237856,0.103015075,0.027638191,0,0.025125628,0.477386935,0.001675042,0.022613065,0.20519263,0,0.135934683,0.081194995,0.151070936,0.177844343,0.061313753,0.057337504,0.131799385,0.034778921,0.127717103,0.041008377
2023,0.195470799,0,0.009013707,0.004395113,0.051847437,0.003501192,0.004097139,0.500521454,0.047750298,0.003203218,0.180199642,0.00018833,0.015286104,0.022191531,0.050189899,0.158134279,0.014124737,0.018895759,0.43121253,0.060579428,0.047929941,0.18126746,0,0.123115578,0.014237856,0.103015075,0.027638191,0,0.025125628,0.477386935,0.001675042,0.022613065,0.20519263,0,0.135934683,0.081194995,0.151070936,0.177844343,0.061313753,0.057337504,0.131799385,0.034778921,0.127717103,0.041008377
2024,0.195470799,0,0.009013707,0.004395113,0.051847437,0.003501192,0.004097139,0.500521454,0.047750298,0.003203218,0.180199642,0.00018833,0.015286104,0.022191531,0.050189899,0.158134279,0.014124737,0.018895759,0.43121253,0.060579428,0.047929941,0.18126746,0,0.123115578,0.014237856,0.103015075,0.027638191,0,0.025125628,0.477386935,0.001675042,0.022613065,0.20519263,0,0.135934683,0.081194995,0.151070936,0.177844343,0.061313753,0.057337504,0.131799385,0.034778921,0.127717103,0.041008377
2025,0.195470799,0,0.009013707,0.004395113,0.051847437,0.003501192,0.004097139,0.500521454,0.047750298,0.003203218,0.180199642,0.00018833,0.015286104,0.022191531,0.050189899,0.158134279,0.014124737,0.018895759,0.43121253,0.060579428,0.047929941,0.18126746,0,0.123115578,0.014237856,0.103015075,0.027638191,0,0.025125628,0.477386935,0.001675042,0.022613065,0.20519263,0,0.135934683,0.081194995,0.151070936,0.177844343,0.061313753,0.057337504,0.131799385,0.034778921,0.127717103,0.041008377
2026,0.195470799,0,0.009013707,0.004395113,0.051847437,0.003501192,0.004097139,0.500521454,0.047750298,0.003203218,0.180199642,0.00018833,0.015286104,0.022191531,0.050189899,0.158134279,0.014124737,0.018895759,0.43121253,0.060579428,0.047929941,0.18126746,0,0.123115578,0.014237856,0.103015075,0.027638191,0,0.025125628,0.477386935,0.001675042,0.022613065,0.20519263,0,0.135934683,0.081194995,0.151070936,0.177844343,0.061313753,0.057337504,0.131799385,0.034778921,0.127717103,0.041008377
2027,0.195470799,0,0.009013707,0.004395113,0.051847437,0.003501192,0.004097139,0.500521454,0.047750298,0.003203218,0.180199642,0.00018833,0.015286104,0.022191531,0.050189899,0.158134279,0.014124737,0.018895759,0.43121253,0.060579428,0.047929941,0.18126746,0,0.123115578,0.014237856,0.103015075,0.027638191,0,0.025125628,0.477386935,0.001675042,0.022613065,0.20519263,0,0.135934683,0.081194995,0.151070936,0.177844343,0.061313753,0.057337504,0.131799385,0.034778921,0.127717103,0.041008377
2028,0.195470799,0,0.009013707,0.004395113,0.051847437,0.003501192,0.004097139,0.500521454,0.047750298,0.003203218,0.180199642,0.00018833,0.015286104,0.022191531,0.050189899,0.158134279,0.014124737,0.018895759,0.43121253,0.060579428,0.047929941,0.18126746,0,0.123115578,0.014237856,0.103015075,0.027638191,0,0.025125628,0.477386935,0.001675042,0.022613065,0.20519263,0,0.135934683,0.081194995,0.151070936,0.177844343,0.061313753,0.057337504,0.131799385,0.034778921,0.127717103,0.041008377
2029,0.195470799,0,0.009013707,0.004395113,0.051847437,0.003501192,0.004097139,0.500521454,0.047750298,0.003203218,0.180199642,0.00018833,0.015286104,0.022191531,0.050189899,0.158134279,0.014124737,0.018895759,0.43121253,0.060579428,0.047929941,0.18126746,0,0.123115578,0.014237856,0.103015075,0.027638191,0,0.025125628,0.477386935,0.001675042,0.022613065,0.20519263,0,0.135934683,0.081194995,0.151070936,0.177844343,0.061313753,0.057337504,0.131799385,0.034778921,0.127717103,0.041008377
2030,0.195470799,0,0.009013707,0.004395113,0.051847437,0.003501192,0.004097139,0.500521454,0.047750298,0.003203218,0.180199642,0.00018833,0.015286104,0.022191531,0.050189899,0.158134279,0.014124737,0.018895759,0.43121253,0.060579428,0.047929941,0.18126746,0,0.123115578,0.014237856,0.103015075,0.027638191,0,0.025125628,0.477386935,0.001675042,0.022613065,0.20519263,0,0.135934683,0.081194995,0.151070936,0.177844343,0.061313753,0.057337504,0.131799385,0.034778921,0.127717103,0.041008377
2031,0.195470799,0,0.009013707,0.004395113,0.051847437,0.003501192,0.004097139,0.500521454,0.047750298,0.003203218,0.180199642,0.00018833,0.015286104,0.022191531,0.050189899,0.158134279,0.014124737,0.018895759,0.43121253,0.060579428,0.047929941,0.18126746,0,0.123115578,0.014237856,0.103015075,0.027638191,0,0.025125628,0.477386935,0.001675042,0.022613065,0.20519263,0,0.135934683,0.081194995,0.151070936,0.177844343,0.061313753,0.057337504,0.131799385,0.034778921,0.127717103,0.041008377
2032,0.195470799,0,0.009013707,0.004395113,0.051847437,0.003501192,0.004097139,0.500521454,0.047750298,0.003203218,0.180199642,0.00018833,0.015286104,0.022191531,0.050189899,0.158134279,0.014124737,0.018895759,0.43121253,0.060579428,0.047929941,0.18126746,0,0.123115578,0.014237856,0.103015075,0.027638191,0,0.025125628,0.477386935,0.001675042,0.022613065,0.20519263,0,0.135934683,0.081194995,0.151070936,0.177844343,0.061313753,0.057337504,0.131799385,0.034778921,0.127717103,0.041008377
2033,0.195470799,0,0.009013707,0.004395113,0.051847437,0.003501192,0.004097139,0.500521454,0.047750298,0.003203218,0.180199642,0.00018833,0.015286104,0.022191531,0.050189899,0.158134279,0.014124737,0.018895759,0.43121253,0.060579428,0.047929941,0.18126746,0,0.123115578,0.014237856,0.103015075,0.027638191,0,0.025125628,0.477386935,0.001675042,0.022613065,0.20519263,0,0.135934683,0.081194995,0.151070936,0.177844343,0.061313753,0.057337504,0.131799385,0.034778921,0.127717103,0.041008377
2034,0.195470799,0,0.009013707,0.004395113,0.051847437,0.003501192,0.004097139,0.500521454,0.047750298,0.003203218,0.180199642,0.00018833,0.015286104,0.022191531,0.050189899,0.158134279,0.014124737,0.018895759,0.43121253,0.060579428,0.047929941,0.18126746,0,0.123115578,0.014237856,0.103015075,0.027638191,0,0.025125628,0.477386935,0.001675042,0.022613065,0.20519263,0,0.135934683,0.081194995,0.151070936,0.177844343,0.061313753,0.057337504,0.131799385,0.034778921,0.127717103,0.041008377
2035,0.195470799,0,0.009013707,0.004395113,0.051847437,0.003501192,0.004097139,0.500521454,0.047750298,0.003203218,0.180199642,0.00018833,0.015286104,0.022191531,0.050189899,0.158134279,0.014124737,0.018895759,0.43121253,0.060579428,0.047929941,0.18126746,0,0.123115578,0.014237856,0.103015075,0.027638191,0,0.025125628,0.477386935,0.001675042,0.022613065,0.20519263,0,0.135934683,0.081194995,0.151070936,0.177844343,0.061313753,0.057337504,0.131799385,0.034778921,0.127717103,0.041008377
2036,0.195470799,0,0.009013707,0.004395113,0.051847437,0.003501192,0.004097139,0.500521454,0.047750298,0.003203218,0.180199642,0.00018833,0.015286104,0.022191531,0.050189899,0.158134279,0.014124737,0.018895759,0.43121253,0.060579428,0.047929941,0.18126746,0,0.123115578,0.014237856,0.103015075,0.027638191,0,0.025125628,0.477386935,0.001675042,0.022613065,0.20519263,0,0.135934683,0.081194995,0.151070936,0.177844343,0.061313753,0.057337504,0.131799385,0.034778921,0.127717103,0.041008377
2037,0.195470799,0,0.009013707,0.004395113,0.051847437,0.003501192,0.004097139,0.500521454,0.047750298,0.003203218,0.180199642,0.00018833,0.015286104,0.022191531,0.050189899,0.158134279,0.014124737,0.018895759,0.43121253,0.060579428,0.047929941,0.18126746,0,0.123115578,0.014237856,0.103015075,0.027638191,0,0.025125628,0.477386935,0.001675042,0.022613065,0.20519263,0,0.135934683,0.081194995,0.151070936,0.177844343,0.061313753,0.057337504,0.131799385,0.034778921,0.127717103,0.041008377
2038,0.195470799,0,0.009013707,0.004395113,0.051847437,0.003501192,0.004097139,0.500521454,0.047750298,0.003203218,0.180199642,0.00018833,0.015286104,0.022191531,0.050189899,0.158134279,0.014124737,0.018895759,0.43121253,0.060579428,0.047929941,0.18126746,0,0.123115578,0.014237856,0.103015075,0.027638191,0,0.025125628,0.477386935,0.001675042,0.022613065,0.20519263,0,0.135934683,0.081194995,0.151070936,0.177844343,0.061313753,0.057337504,0.131799385,0.034778921,0.127717103,0.041008377
2039,0.195470799,0,0.009013707,0.004395113,0.051847437,0.003501192,0.004097139,0.500521454,0.047750298,0.003203218,0.180199642,0.00018833,0.015286104,0.022191531,0.050189899,0.158134279,0.014124737,0.018895759,0.43121253,0.060579428,0.047929941,0.18126746,0,0.123115578,0.014237856,0.103015075,0.027638191,0,0.025125628,0.477386935,0.001675042,0.022613065,0.20519263,0,0.135934683,0.081194995,0.151070936,0.177844343,0.061313753,0.057337504,0.131799385,0.034778921,0.127717103,0.041008377
