PERIOD,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
W_avg,20.95923966,20.95923966,20.95923966,20.95923966,20.95923966,20.95923966,21.45034624,22.13656118,23.13787021,24.1496561,25.22651195,26.38525195,28.85682138,31.23946731,33.04310093,34.91866145,36.90384401,38.62347793,40.26598265,42.08478709,43.98771069,45.99788366,48.1335368,50.30833901,52.56078044,54.89228239,57.30388905,59.79721663,62.38019033,65.05026362,67.80601055,70.66885821,73.64190833,76.73232979,79.94385727,83.28160028,86.7505032,90.35553761,94.10111718,97.96452683,101.986552385773,106.173705974056,110.532767081142,115.070793531493,119.795132915174,124.713434484457,129.833661538839,135.164104318549,140.713393427409,146.490513806775,152.504819283201,158.766047713365,165.284336750786,172.070240259861,179.13474540379,186.489290434066,194.145783210327,202.116620480561,210.414707952876,219.053481191331
MONTHLY_AVG_WAGE,0,0,0,0,0,0,0,0,0,0,0,1304,1426.148788,1543.902838,1633.041204,1725.734309,1823.845104,1908.832075,1990.007201,2079.895332,2173.940762,2273.286623,2378.833907,2486.315999,2597.635142,2712.861578,2832.046912,2955.271021,3082.925581,3214.884737,3351.078016,3492.564379,3639.497119,3792.230532,3950.949192,4115.905619,4287.344172,4465.510554,4650.622895,4841.558581,5040.33331071767,5247.26892344714,5462.70047189671,5686.97676467794,5920.46093106719,6163.53100895393,6416.58055692785,6680.01929149574,6954.27375045999,7239.78798353261,7537.02427130312,7846.46387372436,8168.60780932802,8503.97766643164,8853.1164476505,9216.58944908164,9594.98517558373,9988.91629363451,10399.0206233088,10825.9621709828
SOCIAL_INSURANCE_CONTRIB_RATE,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346
inac_elas,0.07,0.075,0.08,0.085,0.09,0.095,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
unem_rate,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
MALE_RA,62,62,62,62,62,62,62.2082191780822,62.346301369863,62.4523287671233,62.5666666666667,62.7,62.8333333333333,63,63.1666666666667,63.3,63.4333333333333,63.5666666666667,63.7,63.8333333333333,64,64.19460338,64.32272712,64.45085086,64.5789746,64.70709835,64.83522209,64.96334583,65.09146957,65.21959331,65.34771706,65.47584079,65.60396453,65.73208827,65.86021201,65.98833575,66.11645949,66.24458323,66.37270697,66.50083071,66.62895445,66.75707819,66.88520193,67.01332567,67.14144941,67.26957315,67.3976968899999,67.5258206299999,67.6539443699999,67.7820681099999,67.9101918499999,68.0383155899999,68.1664393299999,68.2945630699999,68.4226868099999,68.5508105499999,68.6789342899999,68.8070580299999,68.9351817699999,69.0633055099999,69.1914292499998
FEMALE_RA_5,56.75,56.75,57.5,57.5,58.25,58.25,59,59.75,59.75,60.5,60.5,61.25,61.4583333333333,61.625,61.9166666666667,62.1666666666667,62.3,62.4333333333333,62.5,62.5,62.69460338,62.82272712,62.95085086,63.0789746,63.20709835,63.33522209,63.46334583,63.59146957,63.71959331,63.84771706,63.97584079,64.10396453,64.23208827,64.36021201,64.48833575,64.61645949,64.74458323,64.87270697,65.00083071,65.12895445,65.25707819,65.38520193,65.51332567,65.64144941,65.76957315,65.8976968899999,66.0258206299999,66.1539443699999,66.2820681099999,66.4101918499999,66.5383155899999,66.6664393299999,66.7945630699999,66.9226868099999,67.0508105499999,67.1789342899999,67.3070580299999,67.4351817699999,67.5633055099999,67.6914292499998
FEMALE_RA_3_4,57.75,57.75,58.5,58.5,59.25,59.25,60,60.75,60.75,61.3333333333333,61.4333333333333,61.5666666666667,61.7,61.8333333333333,62,62.1666666666667,62.3,62.4333333333333,62.5,62.5,62.69460338,62.82272712,62.95085086,63.0789746,63.20709835,63.33522209,63.46334583,63.59146957,63.71959331,63.84771706,63.97584079,64.10396453,64.23208827,64.36021201,64.48833575,64.61645949,64.74458323,64.87270697,65.00083071,65.12895445,65.25707819,65.38520193,65.51332567,65.64144941,65.76957315,65.8976968899999,66.0258206299999,66.1539443699999,66.2820681099999,66.4101918499999,66.5383155899999,66.6664393299999,66.7945630699999,66.9226868099999,67.0508105499999,67.1789342899999,67.3070580299999,67.4351817699999,67.5633055099999,67.6914292499998
FEMALE_RA_2,58.75,58.75,59.5,59.5,60.25,60.25,61,61.5,61.5666666666667,61.7,61.8333333333333,62,62.1666666666667,62.3,62.4333333333333,62.5666666666667,62.7,62.8333333333333,63,63,63.19460338,63.32272712,63.45085086,63.5789746,63.70709835,63.83522209,63.96334583,64.09146957,64.21959331,64.34771706,64.47584079,64.60396453,64.73208827,64.86021201,64.98833575,65.11645949,65.24458323,65.37270697,65.50083071,65.62895445,65.75707819,65.88520193,66.01332567,66.14144941,66.26957315,66.3976968899999,66.5258206299999,66.6539443699999,66.7820681099999,66.9101918499999,67.0383155899999,67.1664393299999,67.2945630699999,67.4226868099999,67.5508105499999,67.6789342899999,67.8070580299999,67.9351817699999,68.0633055099999,68.1914292499998
FEMALE_RA_1,59.75,59.75,60.5,60.5,61.25,61.25,62.2082191780822,62.346301369863,62.0952054794521,62.1666666666667,62.3,62.4333333333333,62.5666666666667,62.7,62.8333333333333,63,63.1666666666667,63.3,63.4333333333333,63.5,63.69460338,63.82272712,63.95085086,64.0789746,64.20709835,64.33522209,64.46334583,64.59146957,64.71959331,64.84771706,64.97584079,65.10396453,65.23208827,65.36021201,65.48833575,65.61645949,65.74458323,65.87270697,66.00083071,66.12895445,66.25707819,66.38520193,66.51332567,66.64144941,66.76957315,66.8976968899999,67.0258206299999,67.1539443699999,67.2820681099999,67.4101918499999,67.5383155899999,67.6664393299999,67.7945630699999,67.9226868099999,68.0508105499999,68.1789342899999,68.3070580299999,68.4351817699999,68.5633055099999,68.6914292499998
FEMALE_RA_0,60.75,60.75,61.5,61.5,62,62,62.2082191780822,62.346301369863,62.4523287671233,62.5666666666667,62.7,62.8333333333333,63,63.1666666666667,63.3,63.4333333333333,63.5666666666667,63.7,63.8333333333333,64,64.19460338,64.32272712,64.45085086,64.5789746,64.70709835,64.83522209,64.96334583,65.09146957,65.21959331,65.34771706,65.47584079,65.60396453,65.73208827,65.86021201,65.98833575,66.11645949,66.24458323,66.37270697,66.50083071,66.62895445,66.75707819,66.88520193,67.01332567,67.14144941,67.26957315,67.3976968899999,67.5258206299999,67.6539443699999,67.7820681099999,67.9101918499999,68.0383155899999,68.1664393299999,68.2945630699999,68.4226868099999,68.5508105499999,68.6789342899999,68.8070580299999,68.9351817699999,69.0633055099999,69.1914292499998
VALORIZACIA,0,0,0,0.019,0,-0.001,-0.007,0.008,0.026,0.029,0.026,0.013,0.118,0.036,0.021,0.034,0.034,0.032,0.019,0.019,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
PRVA_VALORIZACIA,0,0,0,0.019,0,-0.001,-0.007,0.008,0.026,0.029,0.026,0.013,0.166856,0.145,0.021,0.034,0.034,0.032,0.019,0.019,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
MIMORIADNA,0,0,0,0,0,0,0,0,0,0,0,0,0.106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REAL_AVG_OLDAGE_PENSION,0,0,0,0,0,0,0,0,0,0,0,515.65,606.22,677.49,701.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADH,1372462,2294699,10.0098,228187,1813705,10.993,586520,2731955,1737795,13.6361,14.2107,15.13,16.4764,17.7688,18.7434,19.7541,20.821,21.7427,22.6211,23.5918,24.6052,25.6734,26.8058,27.9564,29.1455,30.3737,31.6414,32.9493,34.3014,35.6962,37.1328,38.6222,40.1658,41.7671,43.4278,45.1503,46.9369,48.7899,50.7113,52.6892,54.7442443102422,56.8794418040031,59.0979187072217,61.4029231784687,63.7978300647025,66.2861458425139,68.8715137520958,71.5577191314526,74.348694958662,77.2485276103008,80.2614628444689,83.3919120171691,86.6444585411455,90.0238645966369,93.5350781038704,97.1832399675049,100.97369160363,104.911982760341,109.003879643343,113.255373358476
