PERIOD,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082
N1,63200,65300,72000,58900,68500,71900,77000,82600,77100,75400,71300,74900,84900,96300,99300,100900,105000,109200,129900,139100,132400,144500,154200,179100,179464,181010,174656,174656,174656,174656,174656,174656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N2,698500,696000,696600,696800,696300,679100,661500,614200,601500,633300,626800,601800,640300,718900,691200,666700,648600,634500,631000,634500,616500,609300,626200,665000,666352,672091,648499,648499,648499,648499,648499,648499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N3,239900,229100,235900,240400,244200,229500,213600,223200,232900,240700,241000,258200,257000,257600,237100,226300,209800,206100,194600,171000,167400,166500,191800,203300,203713,205468,198255,198255,198255,198255,198255,198255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4,935200,936700,964200,953300,921800,930700,898400,889800,889600,876100,866800,871600,893800,878700,852100,825100,783200,734500,741100,715500,722400,693900,683700,688300,689699,695640,671221,671221,671221,671221,671221,671221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N5,623800,604000,614900,617300,599900,580900,573500,553300,528100,503500,509400,511000,490300,482200,478000,483300,468600,464500,470900,451000,477100,469100,472200,465700,466647,470666,454144,454144,454144,454144,454144,454144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UR,0.0676,0.0757,0.0492,0.0504,0.0594,0.0876,0.1063,0.1229,0.135,0.1444,0.1359,0.1246,0.1266,0.0839,0.0799,0.094,0.1136,0.1307,0.1556,0.1745,0.1863,0.1788,0.1981,0.1562,0.1248,0.1133,0.131,0.125,0.135,0.135,0.135,0.135,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
W_avg,14.532,13.596,13.104,12.156,11.448,10.944,10.596,10.296,9.888,9.672,9.432,9.228,8.940,8.676,8.028,7.476,6.876,6.300,5.724,5.376,4.920,4.548,4.272,3.984,3.672,3.252,2.868,2.508,2.148,1.812,1.500,1.308,1.248,1.200,1.176,1.152,1.128,1.116,1.092,1.068,1.056,1.044,1.020,0.984,0.960,0.936,0.900,0.876,0.852,0.828,0.792,0.756,0.744,0.696,0.636,0.600,0.576,0.564,0.552,0.540,0.540,0.528
inac_elas,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.075,0.08,0.085,0.09,0.095,0.1,0.105,0.11,0.115,0.12
unem_rate,0.0676,0.0757,0.0492,0.0504,0.0594,0.0876,0.1063,0.1229,0.135,0.1444,0.1359,0.1246,0.1266,0.0839,0.0799,0.094,0.1136,0.1307,0.1556,0.1745,0.1863,0.1788,0.1981,0.1562,0.1248,0.1133,0.131,0.125,0.135,0.135,0.135,0.135,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
MALE_RA,62.7,62.5666666666667,62.4523287671233,62.346301369863,62.2082191780822,62,62,62,62,62,62,62,62,62,61.5,61.5,60.75,60.75,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
FEMALE_RA_5,60.5,60.5,59.75,59.75,59,58.25,58.25,57.5,57.5,56.75,56.75,56,55.25,55.25,54.5,54.5,53.75,53.75,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
