age,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,0.849426851,0.849426851,0.849426851,0.849426851,0.849426851,0.849426851,0.849426851,0.849426851,0.849426851,0.849426851,0.849426851,0.849426851,0.849426851,0.849426851,0.849426851,0.849426851,0.849426851,0.849426851,0.849426851,0.849426851,0.849426851,0.849426851,0.849426851,0.849426851,0.849426851,0.849426851,0.849426851,0.849426851,0.849426851,0.849426851,0.849426851,0.849426851,0.849426851,0.849426851,0.849426851,0.849426851,0.849426851,0.849426851,0.849426851,0.849426851,0.849426851,0.849426851,0.849426851,0.849426851,0.849426851,0.849426851,0.849426851,0.849426851,0.849426851,0.849426851
17,0.797887184,0.797887184,0.797887184,0.797887184,0.797887184,0.797887184,0.797887184,0.797887184,0.797887184,0.797887184,0.797887184,0.797887184,0.797887184,0.797887184,0.797887184,0.797887184,0.797887184,0.797887184,0.797887184,0.797887184,0.797887184,0.797887184,0.797887184,0.797887184,0.797887184,0.797887184,0.797887184,0.797887184,0.797887184,0.797887184,0.797887184,0.797887184,0.797887184,0.797887184,0.797887184,0.797887184,0.797887184,0.797887184,0.797887184,0.797887184,0.797887184,0.797887184,0.797887184,0.797887184,0.797887184,0.797887184,0.797887184,0.797887184,0.797887184,0.797887184
18,0.793862306,0.793862306,0.793862306,0.793862306,0.793862306,0.793862306,0.793862306,0.793862306,0.793862306,0.793862306,0.793862306,0.793862306,0.793862306,0.793862306,0.793862306,0.793862306,0.793862306,0.793862306,0.793862306,0.793862306,0.793862306,0.793862306,0.793862306,0.793862306,0.793862306,0.793862306,0.793862306,0.793862306,0.793862306,0.793862306,0.793862306,0.793862306,0.793862306,0.793862306,0.793862306,0.793862306,0.793862306,0.793862306,0.793862306,0.793862306,0.793862306,0.793862306,0.793862306,0.793862306,0.793862306,0.793862306,0.793862306,0.793862306,0.793862306,0.793862306
19,0.603165064,0.603165064,0.603165064,0.603165064,0.603165064,0.603165064,0.603165064,0.603165064,0.603165064,0.603165064,0.603165064,0.603165064,0.603165064,0.603165064,0.603165064,0.603165064,0.603165064,0.603165064,0.603165064,0.603165064,0.603165064,0.603165064,0.603165064,0.603165064,0.603165064,0.603165064,0.603165064,0.603165064,0.603165064,0.603165064,0.603165064,0.603165064,0.603165064,0.603165064,0.603165064,0.603165064,0.603165064,0.603165064,0.603165064,0.603165064,0.603165064,0.603165064,0.603165064,0.603165064,0.603165064,0.603165064,0.603165064,0.603165064,0.603165064,0.603165064
20,0.450922509,0.450922509,0.450922509,0.450922509,0.450922509,0.450922509,0.450922509,0.450922509,0.450922509,0.450922509,0.450922509,0.450922509,0.450922509,0.450922509,0.450922509,0.450922509,0.450922509,0.450922509,0.450922509,0.450922509,0.450922509,0.450922509,0.450922509,0.450922509,0.450922509,0.450922509,0.450922509,0.450922509,0.450922509,0.450922509,0.450922509,0.450922509,0.450922509,0.450922509,0.450922509,0.450922509,0.450922509,0.450922509,0.450922509,0.450922509,0.450922509,0.450922509,0.450922509,0.450922509,0.450922509,0.450922509,0.450922509,0.450922509,0.450922509,0.450922509
21,0.391569507,0.391569507,0.391569507,0.391569507,0.391569507,0.391569507,0.391569507,0.391569507,0.391569507,0.391569507,0.391569507,0.391569507,0.391569507,0.391569507,0.391569507,0.391569507,0.391569507,0.391569507,0.391569507,0.391569507,0.391569507,0.391569507,0.391569507,0.391569507,0.391569507,0.391569507,0.391569507,0.391569507,0.391569507,0.391569507,0.391569507,0.391569507,0.391569507,0.391569507,0.391569507,0.391569507,0.391569507,0.391569507,0.391569507,0.391569507,0.391569507,0.391569507,0.391569507,0.391569507,0.391569507,0.391569507,0.391569507,0.391569507,0.391569507,0.391569507
22,0.345428673,0.345428673,0.345428673,0.345428673,0.345428673,0.345428673,0.345428673,0.345428673,0.345428673,0.345428673,0.345428673,0.345428673,0.345428673,0.345428673,0.345428673,0.345428673,0.345428673,0.345428673,0.345428673,0.345428673,0.345428673,0.345428673,0.345428673,0.345428673,0.345428673,0.345428673,0.345428673,0.345428673,0.345428673,0.345428673,0.345428673,0.345428673,0.345428673,0.345428673,0.345428673,0.345428673,0.345428673,0.345428673,0.345428673,0.345428673,0.345428673,0.345428673,0.345428673,0.345428673,0.345428673,0.345428673,0.345428673,0.345428673,0.345428673,0.345428673
23,0.29336417,0.29336417,0.29336417,0.29336417,0.29336417,0.29336417,0.29336417,0.29336417,0.29336417,0.29336417,0.29336417,0.29336417,0.29336417,0.29336417,0.29336417,0.29336417,0.29336417,0.29336417,0.29336417,0.29336417,0.29336417,0.29336417,0.29336417,0.29336417,0.29336417,0.29336417,0.29336417,0.29336417,0.29336417,0.29336417,0.29336417,0.29336417,0.29336417,0.29336417,0.29336417,0.29336417,0.29336417,0.29336417,0.29336417,0.29336417,0.29336417,0.29336417,0.29336417,0.29336417,0.29336417,0.29336417,0.29336417,0.29336417,0.29336417,0.29336417
24,0.168036999,0.168036999,0.168036999,0.168036999,0.168036999,0.168036999,0.168036999,0.168036999,0.168036999,0.168036999,0.168036999,0.168036999,0.168036999,0.168036999,0.168036999,0.168036999,0.168036999,0.168036999,0.168036999,0.168036999,0.168036999,0.168036999,0.168036999,0.168036999,0.168036999,0.168036999,0.168036999,0.168036999,0.168036999,0.168036999,0.168036999,0.168036999,0.168036999,0.168036999,0.168036999,0.168036999,0.168036999,0.168036999,0.168036999,0.168036999,0.168036999,0.168036999,0.168036999,0.168036999,0.168036999,0.168036999,0.168036999,0.168036999,0.168036999,0.168036999
