age,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
15,0.99946111,0.99946111,0.99946111,0.99946111,0.99946111,0.99946111,0.99946111,0.99946111,0.99946111,0.99946111,0.99946111,0.99946111,0.99946111,0.99946111,0.99946111,0.99946111,0.99946111,0.99946111,0.99946111,0.99946111,0.99946111,0.99946111,0.99946111,0.99946111,0.99946111,0.99946111,0.99946111,0.99946111,0.99946111,0.99946111,0.99946111,0.99946111,0.99946111,0.99946111,0.99946111,0.99946111,0.99946111,0.99946111,0.99946111,0.99946111,0.99946111,0.99946111,0.99946111,0.99946111,0.99946111,0.99946111,0.99946111,0.99946111,0.99946111,0.99946111
16,0.855735911,0.855735911,0.855735911,0.855735911,0.855735911,0.855735911,0.855735911,0.855735911,0.855735911,0.855735911,0.855735911,0.855735911,0.855735911,0.855735911,0.855735911,0.855735911,0.855735911,0.855735911,0.855735911,0.855735911,0.855735911,0.855735911,0.855735911,0.855735911,0.855735911,0.855735911,0.855735911,0.855735911,0.855735911,0.855735911,0.855735911,0.855735911,0.855735911,0.855735911,0.855735911,0.855735911,0.855735911,0.855735911,0.855735911,0.855735911,0.855735911,0.855735911,0.855735911,0.855735911,0.855735911,0.855735911,0.855735911,0.855735911,0.855735911,0.855735911
17,0.804465116,0.804465116,0.804465116,0.804465116,0.804465116,0.804465116,0.804465116,0.804465116,0.804465116,0.804465116,0.804465116,0.804465116,0.804465116,0.804465116,0.804465116,0.804465116,0.804465116,0.804465116,0.804465116,0.804465116,0.804465116,0.804465116,0.804465116,0.804465116,0.804465116,0.804465116,0.804465116,0.804465116,0.804465116,0.804465116,0.804465116,0.804465116,0.804465116,0.804465116,0.804465116,0.804465116,0.804465116,0.804465116,0.804465116,0.804465116,0.804465116,0.804465116,0.804465116,0.804465116,0.804465116,0.804465116,0.804465116,0.804465116,0.804465116,0.804465116
18,0.771936532,0.771936532,0.771936532,0.771936532,0.771936532,0.771936532,0.771936532,0.771936532,0.771936532,0.771936532,0.771936532,0.771936532,0.771936532,0.771936532,0.771936532,0.771936532,0.771936532,0.771936532,0.771936532,0.771936532,0.771936532,0.771936532,0.771936532,0.771936532,0.771936532,0.771936532,0.771936532,0.771936532,0.771936532,0.771936532,0.771936532,0.771936532,0.771936532,0.771936532,0.771936532,0.771936532,0.771936532,0.771936532,0.771936532,0.771936532,0.771936532,0.771936532,0.771936532,0.771936532,0.771936532,0.771936532,0.771936532,0.771936532,0.771936532,0.771936532
19,0.557720588,0.557720588,0.557720588,0.557720588,0.557720588,0.557720588,0.557720588,0.557720588,0.557720588,0.557720588,0.557720588,0.557720588,0.557720588,0.557720588,0.557720588,0.557720588,0.557720588,0.557720588,0.557720588,0.557720588,0.557720588,0.557720588,0.557720588,0.557720588,0.557720588,0.557720588,0.557720588,0.557720588,0.557720588,0.557720588,0.557720588,0.557720588,0.557720588,0.557720588,0.557720588,0.557720588,0.557720588,0.557720588,0.557720588,0.557720588,0.557720588,0.557720588,0.557720588,0.557720588,0.557720588,0.557720588,0.557720588,0.557720588,0.557720588,0.557720588
20,0.327831828,0.327831828,0.327831828,0.327831828,0.327831828,0.327831828,0.327831828,0.327831828,0.327831828,0.327831828,0.327831828,0.327831828,0.327831828,0.327831828,0.327831828,0.327831828,0.327831828,0.327831828,0.327831828,0.327831828,0.327831828,0.327831828,0.327831828,0.327831828,0.327831828,0.327831828,0.327831828,0.327831828,0.327831828,0.327831828,0.327831828,0.327831828,0.327831828,0.327831828,0.327831828,0.327831828,0.327831828,0.327831828,0.327831828,0.327831828,0.327831828,0.327831828,0.327831828,0.327831828,0.327831828,0.327831828,0.327831828,0.327831828,0.327831828,0.327831828
21,0.258641445,0.258641445,0.258641445,0.258641445,0.258641445,0.258641445,0.258641445,0.258641445,0.258641445,0.258641445,0.258641445,0.258641445,0.258641445,0.258641445,0.258641445,0.258641445,0.258641445,0.258641445,0.258641445,0.258641445,0.258641445,0.258641445,0.258641445,0.258641445,0.258641445,0.258641445,0.258641445,0.258641445,0.258641445,0.258641445,0.258641445,0.258641445,0.258641445,0.258641445,0.258641445,0.258641445,0.258641445,0.258641445,0.258641445,0.258641445,0.258641445,0.258641445,0.258641445,0.258641445,0.258641445,0.258641445,0.258641445,0.258641445,0.258641445,0.258641445
22,0.22779122,0.22779122,0.22779122,0.22779122,0.22779122,0.22779122,0.22779122,0.22779122,0.22779122,0.22779122,0.22779122,0.22779122,0.22779122,0.22779122,0.22779122,0.22779122,0.22779122,0.22779122,0.22779122,0.22779122,0.22779122,0.22779122,0.22779122,0.22779122,0.22779122,0.22779122,0.22779122,0.22779122,0.22779122,0.22779122,0.22779122,0.22779122,0.22779122,0.22779122,0.22779122,0.22779122,0.22779122,0.22779122,0.22779122,0.22779122,0.22779122,0.22779122,0.22779122,0.22779122,0.22779122,0.22779122,0.22779122,0.22779122,0.22779122,0.22779122
23,0.18959231,0.18959231,0.18959231,0.18959231,0.18959231,0.18959231,0.18959231,0.18959231,0.18959231,0.18959231,0.18959231,0.18959231,0.18959231,0.18959231,0.18959231,0.18959231,0.18959231,0.18959231,0.18959231,0.18959231,0.18959231,0.18959231,0.18959231,0.18959231,0.18959231,0.18959231,0.18959231,0.18959231,0.18959231,0.18959231,0.18959231,0.18959231,0.18959231,0.18959231,0.18959231,0.18959231,0.18959231,0.18959231,0.18959231,0.18959231,0.18959231,0.18959231,0.18959231,0.18959231,0.18959231,0.18959231,0.18959231,0.18959231,0.18959231,0.18959231
24,0.127252608,0.127252608,0.127252608,0.127252608,0.127252608,0.127252608,0.127252608,0.127252608,0.127252608,0.127252608,0.127252608,0.127252608,0.127252608,0.127252608,0.127252608,0.127252608,0.127252608,0.127252608,0.127252608,0.127252608,0.127252608,0.127252608,0.127252608,0.127252608,0.127252608,0.127252608,0.127252608,0.127252608,0.127252608,0.127252608,0.127252608,0.127252608,0.127252608,0.127252608,0.127252608,0.127252608,0.127252608,0.127252608,0.127252608,0.127252608,0.127252608,0.127252608,0.127252608,0.127252608,0.127252608,0.127252608,0.127252608,0.127252608,0.127252608,0.127252608
