PERIOD,L_0,L_1,L_2,L_3,L_4,L_5,L_6,L_7,L_8,L_9,L_10,L_11
2011,0.000,0.1,0.12,0.15,0.15,0.12,0.1,0.08,0.05,0.05,0.05,0.05
2012,0.000,0.1,0.12,0.15,0.15,0.12,0.1,0.08,0.05,0.05,0.05,0.05
2013,0.000,0.1,0.12,0.15,0.15,0.12,0.1,0.08,0.05,0.05,0.05,0.05
2014,0.000,0.1,0.12,0.15,0.15,0.12,0.1,0.08,0.05,0.05,0.05,0.05
2015,0.000,0.1,0.12,0.15,0.15,0.12,0.1,0.08,0.05,0.05,0.05,0.05
2016,0.000,0.1,0.12,0.15,0.15,0.12,0.1,0.08,0.05,0.05,0.05,0.05
2017,0.000,0.1,0.12,0.15,0.15,0.12,0.1,0.08,0.05,0.05,0.05,0.05
2018,0.000,0.1,0.12,0.15,0.15,0.12,0.1,0.08,0.05,0.05,0.05,0.05
2019,0.000,0.1,0.12,0.15,0.15,0.12,0.1,0.08,0.05,0.05,0.05,0.05
2020,0.000,0.1,0.12,0.15,0.15,0.12,0.1,0.08,0.05,0.05,0.05,0.05
2021,0.000,0.1,0.12,0.15,0.15,0.12,0.1,0.08,0.05,0.05,0.05,0.05
2022,0.000,0.1,0.12,0.15,0.15,0.12,0.1,0.08,0.05,0.05,0.05,0.05
2023,0.000,0.1,0.12,0.15,0.15,0.12,0.1,0.08,0.05,0.05,0.05,0.05
2024,0.000,0.1,0.12,0.15,0.15,0.12,0.1,0.08,0.05,0.05,0.05,0.05
2025,0.000,0.1,0.12,0.15,0.15,0.12,0.1,0.08,0.05,0.05,0.05,0.05
2026,0.000,0.1,0.12,0.15,0.15,0.12,0.1,0.08,0.05,0.05,0.05,0.05
2027,0.000,0.1,0.12,0.15,0.15,0.12,0.1,0.08,0.05,0.05,0.05,0.05
2028,0.000,0.1,0.12,0.15,0.15,0.12,0.1,0.08,0.05,0.05,0.05,0.05
2029,0.000,0.1,0.12,0.15,0.15,0.12,0.1,0.08,0.05,0.05,0.05,0.05
2030,0.000,0.1,0.12,0.15,0.15,0.12,0.1,0.08,0.05,0.05,0.05,0.05
2031,0.000,0.1,0.12,0.15,0.15,0.12,0.1,0.08,0.05,0.05,0.05,0.05
2032,0.000,0.1,0.12,0.15,0.15,0.12,0.1,0.08,0.05,0.05,0.05,0.05
2033,0.000,0.1,0.12,0.15,0.15,0.12,0.1,0.08,0.05,0.05,0.05,0.05
2034,0.000,0.1,0.12,0.15,0.15,0.12,0.1,0.08,0.05,0.05,0.05,0.05
2035,0.000,0.1,0.12,0.15,0.15,0.12,0.1,0.08,0.05,0.05,0.05,0.05
2036,0.000,0.1,0.12,0.15,0.15,0.12,0.1,0.08,0.05,0.05,0.05,0.05
2037,0.000,0.1,0.12,0.15,0.15,0.12,0.1,0.08,0.05,0.05,0.05,0.05
2038,0.000,0.1,0.12,0.15,0.15,0.12,0.1,0.08,0.05,0.05,0.05,0.05
2039,0.000,0.1,0.12,0.15,0.15,0.12,0.1,0.08,0.05,0.05,0.05,0.05
2040,0.000,0.1,0.12,0.15,0.15,0.12,0.1,0.08,0.05,0.05,0.05,0.05
2041,0.000,0.1,0.12,0.15,0.15,0.12,0.1,0.08,0.05,0.05,0.05,0.05
2042,0.000,0.1,0.12,0.15,0.15,0.12,0.1,0.08,0.05,0.05,0.05,0.05
2043,0.000,0.1,0.12,0.15,0.15,0.12,0.1,0.08,0.05,0.05,0.05,0.05
2044,0.000,0.1,0.12,0.15,0.15,0.12,0.1,0.08,0.05,0.05,0.05,0.05
2045,0.000,0.1,0.12,0.15,0.15,0.12,0.1,0.08,0.05,0.05,0.05,0.05
2046,0.000,0.1,0.12,0.15,0.15,0.12,0.1,0.08,0.05,0.05,0.05,0.05
2047,0.000,0.1,0.12,0.15,0.15,0.12,0.1,0.08,0.05,0.05,0.05,0.05
2048,0.000,0.1,0.12,0.15,0.15,0.12,0.1,0.08,0.05,0.05,0.05,0.05
2049,0.000,0.1,0.12,0.15,0.15,0.12,0.1,0.08,0.05,0.05,0.05,0.05
2050,0.000,0.1,0.12,0.15,0.15,0.12,0.1,0.08,0.05,0.05,0.05,0.05
