PERIOD,Leave_PL,Leave_LSL,Leave_HSL,Leave_PSL,Leave_TL,Return_PL,Return_LSL,Return_HSL,Return_PSL,Return_TL,Zah_TL,Return_zah_TL
2021,0.001,0.01,0.02,0.02,0.1684,0.5,0.5,0.5,0.5,0.5,0.274247682,0.75
2022,0.001,0.01,0.02,0.02,0.1684,0.5,0.5,0.5,0.5,0.5,0.274247682,0.75
2023,0.001,0.01,0.02,0.02,0.1684,0.5,0.5,0.5,0.5,0.5,0.274247682,0.75
2024,0.001,0.01,0.02,0.02,0.1684,0.5,0.5,0.5,0.5,0.5,0.274247682,0.75
2025,0.001,0.01,0.02,0.02,0.1684,0.5,0.5,0.5,0.5,0.5,0.274247682,0.75
2026,0.001,0.01,0.02,0.02,0.1684,0.5,0.5,0.5,0.5,0.5,0.274247682,0.75
2027,0.001,0.01,0.02,0.02,0.1684,0.5,0.5,0.5,0.5,0.5,0.274247682,0.75
2028,0.001,0.01,0.02,0.02,0.1684,0.5,0.5,0.5,0.5,0.5,0.274247682,0.75
2029,0.001,0.01,0.02,0.02,0.1684,0.5,0.5,0.5,0.5,0.5,0.274247682,0.75
2030,0.001,0.01,0.02,0.02,0.1684,0.5,0.5,0.5,0.5,0.5,0.274247682,0.75
2031,0.001,0.01,0.02,0.02,0.1684,0.5,0.5,0.5,0.5,0.5,0.274247682,0.75
2032,0.001,0.01,0.02,0.02,0.1684,0.5,0.5,0.5,0.5,0.5,0.274247682,0.75
2033,0.001,0.01,0.02,0.02,0.1684,0.5,0.5,0.5,0.5,0.5,0.274247682,0.75
2034,0.001,0.01,0.02,0.02,0.1684,0.5,0.5,0.5,0.5,0.5,0.274247682,0.75
2035,0.001,0.01,0.02,0.02,0.1684,0.5,0.5,0.5,0.5,0.5,0.274247682,0.75
2036,0.001,0.01,0.02,0.02,0.1684,0.5,0.5,0.5,0.5,0.5,0.274247682,0.75
2037,0.001,0.01,0.02,0.02,0.1684,0.5,0.5,0.5,0.5,0.5,0.274247682,0.75
2038,0.001,0.01,0.02,0.02,0.1684,0.5,0.5,0.5,0.5,0.5,0.274247682,0.75
2039,0.001,0.01,0.02,0.02,0.1684,0.5,0.5,0.5,0.5,0.5,0.274247682,0.75
2040,0.001,0.01,0.02,0.02,0.1684,0.5,0.5,0.5,0.5,0.5,0.274247682,0.75
2041,0.001,0.01,0.02,0.02,0.1684,0.5,0.5,0.5,0.5,0.5,0.274247682,0.75
2042,0.001,0.01,0.02,0.02,0.1684,0.5,0.5,0.5,0.5,0.5,0.274247682,0.75
2043,0.001,0.01,0.02,0.02,0.1684,0.5,0.5,0.5,0.5,0.5,0.274247682,0.75
2044,0.001,0.01,0.02,0.02,0.1684,0.5,0.5,0.5,0.5,0.5,0.274247682,0.75
2045,0.001,0.01,0.02,0.02,0.1684,0.5,0.5,0.5,0.5,0.5,0.274247682,0.75
2046,0.001,0.01,0.02,0.02,0.1684,0.5,0.5,0.5,0.5,0.5,0.274247682,0.75
2047,0.001,0.01,0.02,0.02,0.1684,0.5,0.5,0.5,0.5,0.5,0.274247682,0.75
2048,0.001,0.01,0.02,0.02,0.1684,0.5,0.5,0.5,0.5,0.5,0.274247682,0.75
2049,0.001,0.01,0.02,0.02,0.1684,0.5,0.5,0.5,0.5,0.5,0.274247682,0.75
2050,0.001,0.01,0.02,0.02,0.1684,0.5,0.5,0.5,0.5,0.5,0.274247682,0.75
2051,0.001,0.01,0.02,0.02,0.1684,0.5,0.5,0.5,0.5,0.5,0.274247682,0.75
2052,0.001,0.01,0.02,0.02,0.1684,0.5,0.5,0.5,0.5,0.5,0.274247682,0.75
2053,0.001,0.01,0.02,0.02,0.1684,0.5,0.5,0.5,0.5,0.5,0.274247682,0.75
2054,0.001,0.01,0.02,0.02,0.1684,0.5,0.5,0.5,0.5,0.5,0.274247682,0.75
2055,0.001,0.01,0.02,0.02,0.1684,0.5,0.5,0.5,0.5,0.5,0.274247682,0.75
2056,0.001,0.01,0.02,0.02,0.1684,0.5,0.5,0.5,0.5,0.5,0.274247682,0.75
2057,0.001,0.01,0.02,0.02,0.1684,0.5,0.5,0.5,0.5,0.5,0.274247682,0.75
2058,0.001,0.01,0.02,0.02,0.1684,0.5,0.5,0.5,0.5,0.5,0.274247682,0.75
2059,0.001,0.01,0.02,0.02,0.1684,0.5,0.5,0.5,0.5,0.5,0.274247682,0.75
2060,0.001,0.01,0.02,0.02,0.1684,0.5,0.5,0.5,0.5,0.5,0.274247682,0.75
2061,0.001,0.01,0.02,0.02,0.1684,0.5,0.5,0.5,0.5,0.5,0.274247682,0.75
2062,0.001,0.01,0.02,0.02,0.1684,0.5,0.5,0.5,0.5,0.5,0.274247682,0.75
2063,0.001,0.01,0.02,0.02,0.1684,0.5,0.5,0.5,0.5,0.5,0.274247682,0.75
2064,0.001,0.01,0.02,0.02,0.1684,0.5,0.5,0.5,0.5,0.5,0.274247682,0.75
2065,0.001,0.01,0.02,0.02,0.1684,0.5,0.5,0.5,0.5,0.5,0.274247682,0.75
2066,0.001,0.01,0.02,0.02,0.1684,0.5,0.5,0.5,0.5,0.5,0.274247682,0.75
2067,0.001,0.01,0.02,0.02,0.1684,0.5,0.5,0.5,0.5,0.5,0.274247682,0.75
2068,0.001,0.01,0.02,0.02,0.1684,0.5,0.5,0.5,0.5,0.5,0.274247682,0.75
2069,0.001,0.01,0.02,0.02,0.1684,0.5,0.5,0.5,0.5,0.5,0.274247682,0.75
2070,0.001,0.01,0.02,0.02,0.1684,0.5,0.5,0.5,0.5,0.5,0.274247682,0.75
