age,period,,,,
,2021,2022,2023,2024,2025
60,0.84044233807267,0.84044233807267,0.84044233807267,0.84044233807267,0.84044233807267
61,0.749349522983521,0.749349522983521,0.749349522983521,0.749349522983521,0.749349522983521
62,0.55507474429583,0.55507474429583,0.55507474429583,0.55507474429583,0.55507474429583
63,0.385405235930397,0.385405235930397,0.385405235930397,0.385405235930397,0.385405235930397
64,0.299661758347957,0.299661758347957,0.299661758347957,0.299661758347957,0.299661758347957
65,0.255783433262139,0.255783433262139,0.255783433262139,0.255783433262139,0.255783433262139
66,0.226643921422289,0.226643921422289,0.226643921422289,0.226643921422289,0.226643921422289
67,0.199482429855625,0.199482429855625,0.199482429855625,0.199482429855625,0.199482429855625
68,0.173902318697583,0.173902318697583,0.173902318697583,0.173902318697583,0.173902318697583
69,0.150888901351579,0.150888901351579,0.150888901351579,0.150888901351579,0.150888901351579
70,0.128553068117285,0.128553068117285,0.128553068117285,0.128553068117285,0.128553068117285
71,0.105270100916826,0.105270100916826,0.105270100916826,0.105270100916826,0.105270100916826
72,0.0951567730036205,0.0951567730036205,0.0951567730036205,0.0951567730036205,0.0951567730036205
73,0.0844225797184717,0.0844225797184717,0.0844225797184717,0.0844225797184717,0.0844225797184717
74,0.0770900732164141,0.0770900732164141,0.0770900732164141,0.0770900732164141,0.0770900732164141
75,0.0601616845271668,0.0601616845271668,0.0601616845271668,0.0601616845271668,0.0601616845271668
76,0.0545104157107461,0.0545104157107461,0.0545104157107461,0.0545104157107461,0.0545104157107461
77,0.0478631611003959,0.0478631611003959,0.0478631611003959,0.0478631611003959,0.0478631611003959
78,0.0414794692299655,0.0414794692299655,0.0414794692299655,0.0414794692299655,0.0414794692299655
79,0.0350587976700736,0.0350587976700736,0.0350587976700736,0.0350587976700736,0.0350587976700736
80,0.0273595406877966,0.0273595406877966,0.0273595406877966,0.0273595406877966,0.0273595406877966
81,0.0202495264223659,0.0202495264223659,0.0202495264223659,0.0202495264223659,0.0202495264223659
82,0.0168782458165032,0.0168782458165032,0.0168782458165032,0.0168782458165032,0.0168782458165032
83,0.0159323687205332,0.0159323687205332,0.0159323687205332,0.0159323687205332,0.0159323687205332
84,0.0130057803468208,0.0130057803468208,0.0130057803468208,0.0130057803468208,0.0130057803468208
85,0.00956607495069033,0.00956607495069033,0.00956607495069033,0.00956607495069033,0.00956607495069033
86,0.00864717260211628,0.00864717260211628,0.00864717260211628,0.00864717260211628,0.00864717260211628
87,0.00594930160372478,0.00594930160372478,0.00594930160372478,0.00594930160372478,0.00594930160372478
88,0.00466167537787823,0.00466167537787823,0.00466167537787823,0.00466167537787823,0.00466167537787823
89,0.00278891406658532,0.00278891406658532,0.00278891406658532,0.00278891406658532,0.00278891406658532
90,0.0028695988080128,0.0028695988080128,0.0028695988080128,0.0028695988080128,0.0028695988080128
91,0,0,0,0,0
92,0,0,0,0,0
93,0,0,0,0,0
94,0,0,0,0,0
95,0,0,0,0,0
96,0,0,0,0,0
97,0,0,0,0,0
98,0,0,0,0,0
99,0,0,0,0,0
100,0,0,0,0,0
