toret,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
0,0.84044233807267,0.84044233807267,0.84044233807267,0.84044233807267,0.84044233807267,0.84044233807267,0.84044233807267,0.84044233807267,0.84044233807267,0.84044233807267,0.84044233807267,0.84044233807267,0.84044233807267,0.84044233807267,0.84044233807267,0.84044233807267,0.84044233807267,0.84044233807267,0.84044233807267,0.84044233807267,0.84044233807267,0.84044233807267,0.84044233807267,0.84044233807267,0.84044233807267,0.84044233807267,0.84044233807267,0.84044233807267,0.84044233807267,0.84044233807267,0.84044233807267,0.84044233807267,0.84044233807267,0.84044233807267,0.84044233807267,0.84044233807267,0.84044233807267,0.84044233807267,0.84044233807267,0.84044233807267,0.84044233807267,0.84044233807267,0.84044233807267,0.84044233807267,0.84044233807267,0.84044233807267,0.84044233807267,0.84044233807267,0.84044233807267,0.84044233807267
-1,0.749349522983521,0.749349522983521,0.749349522983521,0.749349522983521,0.749349522983521,0.749349522983521,0.749349522983521,0.749349522983521,0.749349522983521,0.749349522983521,0.749349522983521,0.749349522983521,0.749349522983521,0.749349522983521,0.749349522983521,0.749349522983521,0.749349522983521,0.749349522983521,0.749349522983521,0.749349522983521,0.749349522983521,0.749349522983521,0.749349522983521,0.749349522983521,0.749349522983521,0.749349522983521,0.749349522983521,0.749349522983521,0.749349522983521,0.749349522983521,0.749349522983521,0.749349522983521,0.749349522983521,0.749349522983521,0.749349522983521,0.749349522983521,0.749349522983521,0.749349522983521,0.749349522983521,0.749349522983521,0.749349522983521,0.749349522983521,0.749349522983521,0.749349522983521,0.749349522983521,0.749349522983521,0.749349522983521,0.749349522983521,0.749349522983521,0.749349522983521
-2,0.55507474429583,0.55507474429583,0.55507474429583,0.55507474429583,0.55507474429583,0.55507474429583,0.55507474429583,0.55507474429583,0.55507474429583,0.55507474429583,0.55507474429583,0.55507474429583,0.55507474429583,0.55507474429583,0.55507474429583,0.55507474429583,0.55507474429583,0.55507474429583,0.55507474429583,0.55507474429583,0.55507474429583,0.55507474429583,0.55507474429583,0.55507474429583,0.55507474429583,0.55507474429583,0.55507474429583,0.55507474429583,0.55507474429583,0.55507474429583,0.55507474429583,0.55507474429583,0.55507474429583,0.55507474429583,0.55507474429583,0.55507474429583,0.55507474429583,0.55507474429583,0.55507474429583,0.55507474429583,0.55507474429583,0.55507474429583,0.55507474429583,0.55507474429583,0.55507474429583,0.55507474429583,0.55507474429583,0.55507474429583,0.55507474429583,0.55507474429583
-3,0.385405235930397,0.385405235930397,0.385405235930397,0.385405235930397,0.385405235930397,0.385405235930397,0.385405235930397,0.385405235930397,0.385405235930397,0.385405235930397,0.385405235930397,0.385405235930397,0.385405235930397,0.385405235930397,0.385405235930397,0.385405235930397,0.385405235930397,0.385405235930397,0.385405235930397,0.385405235930397,0.385405235930397,0.385405235930397,0.385405235930397,0.385405235930397,0.385405235930397,0.385405235930397,0.385405235930397,0.385405235930397,0.385405235930397,0.385405235930397,0.385405235930397,0.385405235930397,0.385405235930397,0.385405235930397,0.385405235930397,0.385405235930397,0.385405235930397,0.385405235930397,0.385405235930397,0.385405235930397,0.385405235930397,0.385405235930397,0.385405235930397,0.385405235930397,0.385405235930397,0.385405235930397,0.385405235930397,0.385405235930397,0.385405235930397,0.385405235930397
-4,0.299661758347957,0.299661758347957,0.299661758347957,0.299661758347957,0.299661758347957,0.299661758347957,0.299661758347957,0.299661758347957,0.299661758347957,0.299661758347957,0.299661758347957,0.299661758347957,0.299661758347957,0.299661758347957,0.299661758347957,0.299661758347957,0.299661758347957,0.299661758347957,0.299661758347957,0.299661758347957,0.299661758347957,0.299661758347957,0.299661758347957,0.299661758347957,0.299661758347957,0.299661758347957,0.299661758347957,0.299661758347957,0.299661758347957,0.299661758347957,0.299661758347957,0.299661758347957,0.299661758347957,0.299661758347957,0.299661758347957,0.299661758347957,0.299661758347957,0.299661758347957,0.299661758347957,0.299661758347957,0.299661758347957,0.299661758347957,0.299661758347957,0.299661758347957,0.299661758347957,0.299661758347957,0.299661758347957,0.299661758347957,0.299661758347957,0.299661758347957
-5,0.255783433262139,0.255783433262139,0.255783433262139,0.255783433262139,0.255783433262139,0.255783433262139,0.255783433262139,0.255783433262139,0.255783433262139,0.255783433262139,0.255783433262139,0.255783433262139,0.255783433262139,0.255783433262139,0.255783433262139,0.255783433262139,0.255783433262139,0.255783433262139,0.255783433262139,0.255783433262139,0.255783433262139,0.255783433262139,0.255783433262139,0.255783433262139,0.255783433262139,0.255783433262139,0.255783433262139,0.255783433262139,0.255783433262139,0.255783433262139,0.255783433262139,0.255783433262139,0.255783433262139,0.255783433262139,0.255783433262139,0.255783433262139,0.255783433262139,0.255783433262139,0.255783433262139,0.255783433262139,0.255783433262139,0.255783433262139,0.255783433262139,0.255783433262139,0.255783433262139,0.255783433262139,0.255783433262139,0.255783433262139,0.255783433262139,0.255783433262139
-6,0.226643921422289,0.226643921422289,0.226643921422289,0.226643921422289,0.226643921422289,0.226643921422289,0.226643921422289,0.226643921422289,0.226643921422289,0.226643921422289,0.226643921422289,0.226643921422289,0.226643921422289,0.226643921422289,0.226643921422289,0.226643921422289,0.226643921422289,0.226643921422289,0.226643921422289,0.226643921422289,0.226643921422289,0.226643921422289,0.226643921422289,0.226643921422289,0.226643921422289,0.226643921422289,0.226643921422289,0.226643921422289,0.226643921422289,0.226643921422289,0.226643921422289,0.226643921422289,0.226643921422289,0.226643921422289,0.226643921422289,0.226643921422289,0.226643921422289,0.226643921422289,0.226643921422289,0.226643921422289,0.226643921422289,0.226643921422289,0.226643921422289,0.226643921422289,0.226643921422289,0.226643921422289,0.226643921422289,0.226643921422289,0.226643921422289,0.226643921422289
-7,0.199482429855625,0.199482429855625,0.199482429855625,0.199482429855625,0.199482429855625,0.199482429855625,0.199482429855625,0.199482429855625,0.199482429855625,0.199482429855625,0.199482429855625,0.199482429855625,0.199482429855625,0.199482429855625,0.199482429855625,0.199482429855625,0.199482429855625,0.199482429855625,0.199482429855625,0.199482429855625,0.199482429855625,0.199482429855625,0.199482429855625,0.199482429855625,0.199482429855625,0.199482429855625,0.199482429855625,0.199482429855625,0.199482429855625,0.199482429855625,0.199482429855625,0.199482429855625,0.199482429855625,0.199482429855625,0.199482429855625,0.199482429855625,0.199482429855625,0.199482429855625,0.199482429855625,0.199482429855625,0.199482429855625,0.199482429855625,0.199482429855625,0.199482429855625,0.199482429855625,0.199482429855625,0.199482429855625,0.199482429855625,0.199482429855625,0.199482429855625
-8,0.173902318697583,0.173902318697583,0.173902318697583,0.173902318697583,0.173902318697583,0.173902318697583,0.173902318697583,0.173902318697583,0.173902318697583,0.173902318697583,0.173902318697583,0.173902318697583,0.173902318697583,0.173902318697583,0.173902318697583,0.173902318697583,0.173902318697583,0.173902318697583,0.173902318697583,0.173902318697583,0.173902318697583,0.173902318697583,0.173902318697583,0.173902318697583,0.173902318697583,0.173902318697583,0.173902318697583,0.173902318697583,0.173902318697583,0.173902318697583,0.173902318697583,0.173902318697583,0.173902318697583,0.173902318697583,0.173902318697583,0.173902318697583,0.173902318697583,0.173902318697583,0.173902318697583,0.173902318697583,0.173902318697583,0.173902318697583,0.173902318697583,0.173902318697583,0.173902318697583,0.173902318697583,0.173902318697583,0.173902318697583,0.173902318697583,0.173902318697583
-9,0.150888901351579,0.150888901351579,0.150888901351579,0.150888901351579,0.150888901351579,0.150888901351579,0.150888901351579,0.150888901351579,0.150888901351579,0.150888901351579,0.150888901351579,0.150888901351579,0.150888901351579,0.150888901351579,0.150888901351579,0.150888901351579,0.150888901351579,0.150888901351579,0.150888901351579,0.150888901351579,0.150888901351579,0.150888901351579,0.150888901351579,0.150888901351579,0.150888901351579,0.150888901351579,0.150888901351579,0.150888901351579,0.150888901351579,0.150888901351579,0.150888901351579,0.150888901351579,0.150888901351579,0.150888901351579,0.150888901351579,0.150888901351579,0.150888901351579,0.150888901351579,0.150888901351579,0.150888901351579,0.150888901351579,0.150888901351579,0.150888901351579,0.150888901351579,0.150888901351579,0.150888901351579,0.150888901351579,0.150888901351579,0.150888901351579,0.150888901351579
