toret,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
0,0.674909330695681,0.674909330695681,0.674909330695681,0.674909330695681,0.674909330695681,0.674909330695681,0.674909330695681,0.674909330695681,0.674909330695681,0.674909330695681,0.674909330695681,0.674909330695681,0.674909330695681,0.674909330695681,0.674909330695681,0.674909330695681,0.674909330695681,0.674909330695681,0.674909330695681,0.674909330695681,0.674909330695681,0.674909330695681,0.674909330695681,0.674909330695681,0.674909330695681,0.674909330695681,0.674909330695681,0.674909330695681,0.674909330695681,0.674909330695681,0.674909330695681,0.674909330695681,0.674909330695681,0.674909330695681,0.674909330695681,0.674909330695681,0.674909330695681,0.674909330695681,0.674909330695681,0.674909330695681,0.674909330695681,0.674909330695681,0.674909330695681,0.674909330695681,0.674909330695681,0.674909330695681,0.674909330695681,0.674909330695681,0.674909330695681,0.674909330695681
-1,0.488757327422789,0.488757327422789,0.488757327422789,0.488757327422789,0.488757327422789,0.488757327422789,0.488757327422789,0.488757327422789,0.488757327422789,0.488757327422789,0.488757327422789,0.488757327422789,0.488757327422789,0.488757327422789,0.488757327422789,0.488757327422789,0.488757327422789,0.488757327422789,0.488757327422789,0.488757327422789,0.488757327422789,0.488757327422789,0.488757327422789,0.488757327422789,0.488757327422789,0.488757327422789,0.488757327422789,0.488757327422789,0.488757327422789,0.488757327422789,0.488757327422789,0.488757327422789,0.488757327422789,0.488757327422789,0.488757327422789,0.488757327422789,0.488757327422789,0.488757327422789,0.488757327422789,0.488757327422789,0.488757327422789,0.488757327422789,0.488757327422789,0.488757327422789,0.488757327422789,0.488757327422789,0.488757327422789,0.488757327422789,0.488757327422789,0.488757327422789
-2,0.364681542781144,0.364681542781144,0.364681542781144,0.364681542781144,0.364681542781144,0.364681542781144,0.364681542781144,0.364681542781144,0.364681542781144,0.364681542781144,0.364681542781144,0.364681542781144,0.364681542781144,0.364681542781144,0.364681542781144,0.364681542781144,0.364681542781144,0.364681542781144,0.364681542781144,0.364681542781144,0.364681542781144,0.364681542781144,0.364681542781144,0.364681542781144,0.364681542781144,0.364681542781144,0.364681542781144,0.364681542781144,0.364681542781144,0.364681542781144,0.364681542781144,0.364681542781144,0.364681542781144,0.364681542781144,0.364681542781144,0.364681542781144,0.364681542781144,0.364681542781144,0.364681542781144,0.364681542781144,0.364681542781144,0.364681542781144,0.364681542781144,0.364681542781144,0.364681542781144,0.364681542781144,0.364681542781144,0.364681542781144,0.364681542781144,0.364681542781144
-3,0.323369976681506,0.323369976681506,0.323369976681506,0.323369976681506,0.323369976681506,0.323369976681506,0.323369976681506,0.323369976681506,0.323369976681506,0.323369976681506,0.323369976681506,0.323369976681506,0.323369976681506,0.323369976681506,0.323369976681506,0.323369976681506,0.323369976681506,0.323369976681506,0.323369976681506,0.323369976681506,0.323369976681506,0.323369976681506,0.323369976681506,0.323369976681506,0.323369976681506,0.323369976681506,0.323369976681506,0.323369976681506,0.323369976681506,0.323369976681506,0.323369976681506,0.323369976681506,0.323369976681506,0.323369976681506,0.323369976681506,0.323369976681506,0.323369976681506,0.323369976681506,0.323369976681506,0.323369976681506,0.323369976681506,0.323369976681506,0.323369976681506,0.323369976681506,0.323369976681506,0.323369976681506,0.323369976681506,0.323369976681506,0.323369976681506,0.323369976681506
-4,0.284451852317756,0.284451852317756,0.284451852317756,0.284451852317756,0.284451852317756,0.284451852317756,0.284451852317756,0.284451852317756,0.284451852317756,0.284451852317756,0.284451852317756,0.284451852317756,0.284451852317756,0.284451852317756,0.284451852317756,0.284451852317756,0.284451852317756,0.284451852317756,0.284451852317756,0.284451852317756,0.284451852317756,0.284451852317756,0.284451852317756,0.284451852317756,0.284451852317756,0.284451852317756,0.284451852317756,0.284451852317756,0.284451852317756,0.284451852317756,0.284451852317756,0.284451852317756,0.284451852317756,0.284451852317756,0.284451852317756,0.284451852317756,0.284451852317756,0.284451852317756,0.284451852317756,0.284451852317756,0.284451852317756,0.284451852317756,0.284451852317756,0.284451852317756,0.284451852317756,0.284451852317756,0.284451852317756,0.284451852317756,0.284451852317756,0.284451852317756
-5,0.270695500477272,0.270695500477272,0.270695500477272,0.270695500477272,0.270695500477272,0.270695500477272,0.270695500477272,0.270695500477272,0.270695500477272,0.270695500477272,0.270695500477272,0.270695500477272,0.270695500477272,0.270695500477272,0.270695500477272,0.270695500477272,0.270695500477272,0.270695500477272,0.270695500477272,0.270695500477272,0.270695500477272,0.270695500477272,0.270695500477272,0.270695500477272,0.270695500477272,0.270695500477272,0.270695500477272,0.270695500477272,0.270695500477272,0.270695500477272,0.270695500477272,0.270695500477272,0.270695500477272,0.270695500477272,0.270695500477272,0.270695500477272,0.270695500477272,0.270695500477272,0.270695500477272,0.270695500477272,0.270695500477272,0.270695500477272,0.270695500477272,0.270695500477272,0.270695500477272,0.270695500477272,0.270695500477272,0.270695500477272,0.270695500477272,0.270695500477272
-6,0.237352358844815,0.237352358844815,0.237352358844815,0.237352358844815,0.237352358844815,0.237352358844815,0.237352358844815,0.237352358844815,0.237352358844815,0.237352358844815,0.237352358844815,0.237352358844815,0.237352358844815,0.237352358844815,0.237352358844815,0.237352358844815,0.237352358844815,0.237352358844815,0.237352358844815,0.237352358844815,0.237352358844815,0.237352358844815,0.237352358844815,0.237352358844815,0.237352358844815,0.237352358844815,0.237352358844815,0.237352358844815,0.237352358844815,0.237352358844815,0.237352358844815,0.237352358844815,0.237352358844815,0.237352358844815,0.237352358844815,0.237352358844815,0.237352358844815,0.237352358844815,0.237352358844815,0.237352358844815,0.237352358844815,0.237352358844815,0.237352358844815,0.237352358844815,0.237352358844815,0.237352358844815,0.237352358844815,0.237352358844815,0.237352358844815,0.237352358844815
-7,0.219860951834862,0.219860951834862,0.219860951834862,0.219860951834862,0.219860951834862,0.219860951834862,0.219860951834862,0.219860951834862,0.219860951834862,0.219860951834862,0.219860951834862,0.219860951834862,0.219860951834862,0.219860951834862,0.219860951834862,0.219860951834862,0.219860951834862,0.219860951834862,0.219860951834862,0.219860951834862,0.219860951834862,0.219860951834862,0.219860951834862,0.219860951834862,0.219860951834862,0.219860951834862,0.219860951834862,0.219860951834862,0.219860951834862,0.219860951834862,0.219860951834862,0.219860951834862,0.219860951834862,0.219860951834862,0.219860951834862,0.219860951834862,0.219860951834862,0.219860951834862,0.219860951834862,0.219860951834862,0.219860951834862,0.219860951834862,0.219860951834862,0.219860951834862,0.219860951834862,0.219860951834862,0.219860951834862,0.219860951834862,0.219860951834862,0.219860951834862
-8,0.202353582979387,0.202353582979387,0.202353582979387,0.202353582979387,0.202353582979387,0.202353582979387,0.202353582979387,0.202353582979387,0.202353582979387,0.202353582979387,0.202353582979387,0.202353582979387,0.202353582979387,0.202353582979387,0.202353582979387,0.202353582979387,0.202353582979387,0.202353582979387,0.202353582979387,0.202353582979387,0.202353582979387,0.202353582979387,0.202353582979387,0.202353582979387,0.202353582979387,0.202353582979387,0.202353582979387,0.202353582979387,0.202353582979387,0.202353582979387,0.202353582979387,0.202353582979387,0.202353582979387,0.202353582979387,0.202353582979387,0.202353582979387,0.202353582979387,0.202353582979387,0.202353582979387,0.202353582979387,0.202353582979387,0.202353582979387,0.202353582979387,0.202353582979387,0.202353582979387,0.202353582979387,0.202353582979387,0.202353582979387,0.202353582979387,0.202353582979387
-9,0.184937908933102,0.184937908933102,0.184937908933102,0.184937908933102,0.184937908933102,0.184937908933102,0.184937908933102,0.184937908933102,0.184937908933102,0.184937908933102,0.184937908933102,0.184937908933102,0.184937908933102,0.184937908933102,0.184937908933102,0.184937908933102,0.184937908933102,0.184937908933102,0.184937908933102,0.184937908933102,0.184937908933102,0.184937908933102,0.184937908933102,0.184937908933102,0.184937908933102,0.184937908933102,0.184937908933102,0.184937908933102,0.184937908933102,0.184937908933102,0.184937908933102,0.184937908933102,0.184937908933102,0.184937908933102,0.184937908933102,0.184937908933102,0.184937908933102,0.184937908933102,0.184937908933102,0.184937908933102,0.184937908933102,0.184937908933102,0.184937908933102,0.184937908933102,0.184937908933102,0.184937908933102,0.184937908933102,0.184937908933102,0.184937908933102,0.184937908933102
